censor,closure_time,start_year,Business type,Rate type (STD),type,sq(ft),is_downtown_association,zone,zone_type,is_home_occ,ft to downtown
0,924,2023,Counseling,General Service,Service,27592.678244139726,False,O,Office,False,278.1950292352376
1,3605,2016,Medical Services,Downtown Association,Downtown Association,7563.765328323775,True,C,Commercial,False,0.0
0,2300,2019,Medical Services,Professional Service,Service,25511.329248959304,False,O,Office,False,10195.909687460093
1,8255,2003,Medical Services,Professional Service,Service,18277.68557006998,False,O,Office,False,28.006788526894063
0,3271,2017,Education/School,Downtown Association,Downtown Association,19688.68976216909,True,C,Commercial,False,0.0
1,10297,1997,Consultant,General Retailer,Retail,3500.3770232955703,False,O,Office,False,280.5936744968194
1,3497,2016,Home Occupation,General Service,Service,282663.4622377588,False,R-2,Residential,True,11723.054286484785
1,6982,2007,Finance Company,General Service,Service,12520.771914228397,False,O,Office,False,0.0
1,17415,1978,Medical Services,Professional Service,Service,102640.5814312235,False,BP,Commercial,False,14423.91410514908
1,7253,2006,Manufacturing,General Manufacturer,Other,38783.40069214897,False,O,Office,False,12020.657742247651
0,13564,1989,Education/School,General Service,Service,42911.18485216228,False,M,Manufacturing,False,7135.5955737602735
1,7464,2005,Personal Services,General Service,Service,80475.7869741603,False,C,Commercial,False,12702.07855382758
1,7092,2006,Personal Services,General Service,Service,9508767.479464812,False,C,Commercial,False,24838.48155040229
0,1359,2022,Professional,Professional Service,Service,103856.9787977616,False,BP,Commercial,False,13275.79930334867
0,4726,2013,Personal Services,General Retailer,Retail,402716.0278667472,False,C,Commercial,False,9883.385708097328
1,5582,2010,Home Occupation,General Service,Service,7232.477187602133,False,R-1,Residential,True,5032.456100599286
0,4273,2014,Retail,General Retailer,Retail,106851.71203752069,False,C,Commercial,False,11499.5189248861
1,2656,2018,Counseling,Professional Service,Service,113632.1974917182,False,C,Commercial,False,9579.082832893837
1,5938,2009,Personal Services,General Service,Service,311139.37171552586,False,M,Manufacturing,False,10290.168112394083
1,7812,2004,Motor Vehicle Sales,General Retailer,Retail,16254.11298965157,False,C,Commercial,False,1855.0129722886352
0,2087,2020,Auto Mechanic/Detailer/Services,General Service,Service,10881.233163468396,False,C,Commercial,False,4029.5998979985143
1,4035,2015,Retail,General Retailer,Retail,11823.098050098934,False,C,Commercial,False,7085.038024333821
0,7049,2006,Restaurant,General Service,Service,33750.60580985472,False,C,Commercial,False,2802.692747136358
1,5995,2009,Recreation-Instruction/Training,General Service,Service,42968.00153442171,False,PF,Public,False,69.18582440586756
0,744,2024,Misc Business Services,General Service,Service,6933.608960831063,False,R-2,Residential,False,2299.9644577010536
1,5715,2010,Massage,Massage Therapist,Service,7946.164315449544,False,R-4,Residential,False,286.09378633181007
0,424,2025,Retail,General Retailer,Retail,90013.16291667406,False,O,Office,False,7800.939344842769
0,10263,1998,Alcoholic Beverage,General Retailer,Retail,45470.35138487366,False,C,Commercial,False,1380.5874379332497
0,2910,2018,Alcoholic Beverage,General Service,Service,17452.338216584103,False,C,Commercial,False,4143.748734520698
0,857,2023,Alcoholic Beverage,General Service,Service,163173.874479049,False,C,Commercial,False,2465.6451798637822
1,7732,2005,Misc Business Services,General Service,Service,16254.11298965157,False,C,Commercial,False,1855.0129722886352
1,7554,2005,"Computers, Sales & Service",Downtown Association,Downtown Association,4440.868347550672,True,C,Commercial,False,0.0
0,2879,2018,Education/School,General Retailer,Retail,13343.720357226872,False,R-3,Residential,False,137.2766602117505
1,2605,2019,Home Occupation,General Wholesaler,Other,10123.556427577218,False,R-1,Residential,True,8877.112324817286
0,13093,1990,Medical Services,Professional Service,Service,28930.910947524146,False,O,Office,False,1814.6413556158027
1,15954,1982,Medical Services,Downtown Association,Downtown Association,9851.591856002056,False,O,Office,False,0.0
1,7822,2004,Manufacturing,General Manufacturer,Other,126267.55969911172,False,M,Manufacturing,False,10895.186662614502
0,795,2024,Consultant,General Service,Service,9259.511410124442,False,C,Commercial,False,887.5950986133283
1,1160,2023,Consultant,Downtown Association,Downtown Association,13680.453101762874,False,O,Office,False,0.0
1,2822,2018,Home Occupation,General Service,Service,6846.401905819025,False,R-2,Residential,True,846.7805577983045
0,2726,2018,Home Occupation,General Retailer,Retail,7447.270462445607,False,R-2,Residential,True,2514.8604865205343
0,60,2026,Misc Business Services,General Service,Service,2328.536772829861,False,R-3,Residential,False,1221.9363288646089
1,10993,1996,Real Estate Agent,General Service,Service,2314.921575928042,False,O,Office,False,212.8500483728768
1,6813,2007,Home Occupation,General Service,Service,11175.25033521718,False,R-1,Residential,True,4366.8539613733055
1,1561,2021,Retail,General Retailer,Retail,103818.99728199556,False,C,Commercial,False,3046.5053523118804
0,11949,1993,Misc Business Services,General Service,Service,18725.86874333654,False,C,Commercial,False,8943.478976482767
0,1699,2021,Retail,General Retailer,Retail,126400.15609914952,False,M,Manufacturing,False,10413.216613322871
0,9928,1998,Education/School,General Service,Service,29332.25537416601,False,C,Commercial,False,1997.256814581833
0,12107,1993,Maintenance,General Service,Service,1040694.0422821196,False,R-2,Residential,False,10747.129610853885
1,7443,2005,Home Occupation,General Service,Service,11250.775878535118,False,R-1,Residential,True,2555.7831522590723
0,1817,2021,Manufacturing,General Manufacturer,Other,97807.88342507582,False,M,Manufacturing,False,11709.090888121817
1,2598,2019,Home Occupation,General Service,Service,6181.042344304874,False,R-1,Residential,True,8876.66159737644
0,12239,1992,Retail,General Retailer,Retail,35045.41734217446,False,C,Commercial,False,9276.237431761763
0,13812,1988,Apparel/Accessories,General Service,Service,7974.999224430519,False,C,Commercial,False,1122.0204665955373
1,9034,2001,Home Occupation,General Service,Service,7870.360116833199,False,R-2,Residential,True,1934.456346909339
0,1334,2022,"Wholesale, Distributors",General Wholesaler,Other,6529.274493563027,False,O,Office,False,1666.0791337624748
1,15954,1982,Medical Services,Professional Service,Service,7393.166428000591,False,O,Office,False,513.6691828979604
1,551,2024,Education/School,Professional Service,Service,7250.666761728899,False,R-2,Residential,False,2307.247162625245
1,1435,2022,Misc Business Services,General Service,Service,4924.912337962522,False,O,Office,False,914.4178405092714
1,6008,2009,Real Estate Broker,General Service,Service,39014.310173584825,False,O,Office,False,338.2811092898456
1,6405,2008,Retail,General Retailer,Retail,58351.87534195547,False,C,Commercial,False,4890.145881121271
0,2445,2019,Professional,Professional Service,Service,97915.6927441578,False,C,Commercial,False,12873.812385833986
1,1491,2022,Home Occupation,General Retailer,Retail,37803.68552019008,False,O,Office,True,932.0253594838264
1,1417,2022,Home Occupation,General Service,Service,88366.39403027849,False,M,Manufacturing,True,7285.690346231679
0,3035,2017,Medical Services,Professional Service,Service,3762.374529667433,False,O,Office,False,1726.4654986136616
0,3048,2017,Medical Services,Professional Service,Service,8321.122466919473,False,O,Office,False,2133.8399204161574
1,1670,2021,Beauty Salon,Downtown Association,Downtown Association,25616.3933820472,True,C,Commercial,False,0.0
0,34,2026,Home Occupation,General Service,Service,164404.4606291143,False,R-3,Residential,True,5696.6486489826175
0,2496,2019,Health Spa/Fitness,General Service,Service,270551.3536319089,False,C,Commercial,False,14162.275104332382
0,4092,2014,Retail,General Retailer,Retail,260930.80653881235,False,C,Commercial,False,10656.18185354546
1,10328,1997,Florist/Nursery,General Retailer,Retail,1135636.335310187,False,C,Commercial,False,5677.8470954432505
1,5754,2010,Home Occupation,General Service,Service,7496.915226127946,False,R-2,Residential,True,2320.899776141161
1,8025,2004,Medical Services,Professional Service,Service,13491.36559640221,False,O,Office,False,3783.1140190951296
0,3843,2015,Miscellaneous Business,Professional Service,Service,9594577.333941253,False,C,Commercial,False,15456.89859297165
0,2445,2019,Home Occupation,Contractor,Service,2828.410621314676,False,R-4,Residential,True,378.2019009859033
1,6150,2009,Retail,General Retailer,Retail,14769.44968758614,False,C,Commercial,False,2214.105158690033
1,2277,2019,Medical Services,Professional Service,Service,36400.39777929863,False,PF,Public,False,4097.141772737705
1,3651,2016,Medical Services,Professional Service,Service,36400.39777929863,False,PF,Public,False,4097.141772737705
1,10572,1997,Retail,General Retailer,Retail,142719.55658293143,False,C,Commercial,False,12066.062611633632
1,1070,2023,Consultant,General Service,Service,42409.247908566525,False,R-4,Residential,False,7726.7169528117565
0,3544,2016,Recreation-Instruction/Training,General Service,Service,35045.41734217446,False,C,Commercial,False,9269.116110097464
0,12666,1991,Recreational Services,General Service,Service,43900.624525960106,False,C,Commercial,False,9284.918830864292
0,1544,2021,Beauty Salon,General Service,Service,170360.61148949602,False,M,Manufacturing,False,10691.55402935455
0,739,2024,Beauty Salon,General Retailer,Retail,66758.57384749438,False,C,Commercial,False,10366.214894664903
0,13427,1989,Medical Services,Professional Service,Service,7396.043266987006,False,O,Office,False,2067.2941702336257
1,6449,2008,Home Occupation,General Service,Service,4484.045773224556,False,R-1,Residential,True,5794.350321937508
1,6259,2009,Miscellaneous Business,General Service,Service,97915.6927441578,False,C,Commercial,False,12873.812385833986
0,6134,2009,Medical Services,General Service,Service,18117.375657540164,False,C,Commercial,False,9079.902149034107
1,9009,2001,Florist/Nursery,General Retailer,Retail,14769.44968758614,False,C,Commercial,False,2214.105158690033
1,11761,1993,"Wholesale, Distributors",General Wholesaler,Other,25868.1034662979,False,M,Manufacturing,False,9001.566724969589
1,4392,2014,Home Occupation,Contractor,Service,14238.053285660111,False,C,Commercial,True,11674.571573346364
1,10870,1996,Medical Services,Professional Service,Service,5997.986146032643,False,O,Office,False,1769.9946123164514
1,2032,2020,Medical Services,Professional Service,Service,36400.39777929863,False,PF,Public,False,4097.141772737705
1,3865,2015,Education/School,Professional Service,Service,47666.495367219024,False,R-1,Residential,False,6027.571304411356
1,4224,2014,Home Occupation,General Service,Service,5515.98758340019,False,R-2,Residential,True,5967.35680203392
1,7756,2004,Manufacturing,General Manufacturer,Other,43581.7688247293,False,M,Manufacturing,False,13053.46334548379
1,6365,2008,Home Occupation,General Service,Service,6633.234455691276,False,R-1,Residential,True,8007.667819206876
0,6388,2008,"Wholesale, Distributors",General Wholesaler,Other,837134.2425306678,False,BP,Commercial,False,8180.959807750548
1,8640,2002,Personal Services,General Service,Service,25814.939737767083,False,O,Office,False,75.02049834246648
1,7553,2005,Gardening,General Service,Service,51736.54997296423,False,R-4,Residential,False,6296.128437749641
1,9026,2001,Education/School,General Service,Service,12953.577535782748,False,O,Office,False,2557.988869598761
0,3857,2015,Medical Services,Professional Service,Service,24889.35205670028,False,C,Commercial,False,7274.757917424205
1,7276,2006,Medical Services,Professional Service,Service,21842.225519096133,False,O,Office,False,2845.128768800457
1,7359,2006,Retail,General Service,Service,8114.511232759406,False,R-1,Residential,False,9915.556527844994
1,7465,2005,Advertising,General Service,Service,5796.367914428044,False,R-1,Residential,False,8708.154538703146
1,7346,2006,Auto Mechanic/Detailer/Services,General Retailer,Retail,260842.2226411217,False,C,Commercial,False,8937.656107085295
1,8627,2002,Medical Services,Professional Service,Service,53247.13811248186,False,O,Office,False,4115.975044362782
0,6414,2008,Home Occupation,Professional Service,Service,4582.6626183424405,False,R-1,Residential,True,14942.800861977115
1,4644,2013,Auto Mechanic/Detailer/Services,General Service,Service,142719.55658293143,False,C,Commercial,False,12066.062611633632
1,7473,2005,Medical Services,Professional Service,Service,9851.591856002056,False,O,Office,False,0.0
0,4216,2014,Professional,Professional Service,Service,5997.986146032643,False,O,Office,False,1769.9946123164514
0,1418,2022,Medical Services,Professional Service,Service,9113.5933972651,False,O,Office,False,3091.428429975062
1,6801,2007,Home Occupation,General Service,Service,6030.862610159006,False,R-1,Residential,True,11227.724790718668
0,13213,1990,Dental,Professional Service,Service,10177.972942558936,False,O,Office,False,4994.448026349089
1,10041,1998,Medical Services,Professional Service,Service,13491.36559640221,False,O,Office,False,3783.1140190951296
0,15954,1982,Medical Services,Professional Service,Service,13491.36559640221,False,O,Office,False,3783.1140190951296
0,2037,2020,Medical Services,Professional Service,Service,53247.13811248186,False,O,Office,False,4115.975044362782
0,10901,1996,Home Occupation,General Service,Service,6368.839880381022,False,R-1,Residential,True,11525.56434386521
1,14888,1985,Medical Services,Professional Service,Service,29836.402872058818,False,C,Commercial,False,9401.580381077569
0,13517,1989,Medical Services,Downtown Association,Downtown Association,33684.67003111949,True,C,Commercial,False,0.0
0,156,2025,Home Occupation,General Retailer,Retail,7216.11797219209,False,R-1,Residential,True,6960.353381017814
1,7653,2005,Restaurant,General Retailer,Retail,21265.475283439107,False,C,Commercial,False,4273.171303323049
1,11218,1995,Miscellaneous Business,General Service,Service,225165.6218988304,False,M,Manufacturing,False,10496.73987974078
0,2859,2018,Home Occupation,General Service,Service,10570.83381548104,False,R-1,Residential,True,13035.133118887885
1,7752,2004,Maintenance,General Service,Service,7142.193668353887,False,R-2,Residential,False,1226.359744206973
1,11746,1994,Medical Services,Professional Service,Service,28930.910947524146,False,O,Office,False,1814.6413556158027
0,11114,1995,Medical Services,Professional Service,Service,25614.63317779357,False,O,Office,False,10182.892120260978
1,2199,2020,Counseling,Professional Service,Service,87930.35422025107,False,BP,Commercial,False,14267.413531122376
0,1224,2022,Counseling,General Service,Service,11168.773686126557,True,C,Commercial,False,0.0
0,11992,1993,Food Store,General Retailer,Retail,63666.9603757336,False,C,Commercial,False,10123.994602523886
1,15223,1984,Miscellaneous Business,General Service,Service,88366.39403027849,False,M,Manufacturing,False,7332.528123851252
1,633,2024,Recreational Services,General Service,Service,6405.840832575672,False,R-1,Residential,False,11233.242773759288
0,522,2024,Home Occupation,General Service,Service,174830.0224044298,False,R-2,Residential,True,7561.833115312173
1,3935,2015,Real Estate Agent,Downtown Association,Downtown Association,12282.228377841731,True,C,Commercial,False,19.500182563931556
0,6275,2008,Medical Services,Professional Service,Service,36400.39777929863,False,PF,Public,False,4097.141772737705
0,1330,2022,Rental- Residential,General Service,Service,6529.274493563027,False,O,Office,False,1666.0791337624748
0,9144,2001,Home Occupation,General Service,Service,4122.927594967321,False,R-1,Residential,True,12461.001370018388
0,1747,2021,Home Occupation,General Retailer,Retail,120614.0214722074,False,R-4,Residential,True,2582.932849809798
1,2600,2019,Education/School,General Service,Service,444680.86571866414,False,C,Commercial,False,10797.61867682206
0,7066,2006,Miscellaneous Business,General Service,Service,97915.6927441578,False,C,Commercial,False,12873.812385833986
1,6121,2009,Photographic Studio/Portrait,General Service,Service,100987.56764073543,False,C,Commercial,False,3407.108629665834
1,9851,1999,Medical Services,Professional Service,Service,21842.225519096133,False,O,Office,False,2890.3125439572805
0,1922,2020,Home Occupation,General Service,Service,3473.8989814801384,False,R-2,Residential,True,6564.616201961767
1,7708,2005,Misc Business Services,General Service,Service,7131.782992157244,False,R-1,Residential,False,4797.00913943185
1,6386,2008,Retail,General Retailer,Retail,172554.22759999588,False,C,Commercial,False,10621.0861864381
0,1285,2022,Recreational Services,General Service,Service,46577.02032724089,False,C,Commercial,False,5955.580674262066
0,2201,2020,Administration/Office,General Service,Service,172554.22759999588,False,C,Commercial,False,10621.0861864381
0,141,2025,Retail,General Retailer,Retail,21807.966963262497,False,C,Commercial,False,2434.671452974056
0,15945,1982,Retail,Downtown Association,Downtown Association,71780.37395367466,True,C,Commercial,False,0.0
0,1982,2020,Home Occupation,Professional Service,Service,6140.830408846804,False,R-2,Residential,True,674.0158156655351
1,5629,2010,Misc Business Services,General Service,Service,2446753.7045880742,False,C,Commercial,False,19667.236484250032
1,5174,2012,Maintenance,General Service,Service,7949.164934073776,False,C,Commercial,False,4390.937269486134
1,3103,2017,Home Occupation,Professional Service,Service,5876.858636672893,False,R-1,Residential,True,7953.694624171538
1,5477,2011,Home Occupation,General Service,Service,2328.536772829861,False,R-3,Residential,True,1221.9363288646089
1,2985,2018,Retail,General Retailer,Retail,11694.289867289952,False,M,Manufacturing,False,8594.56718681631
0,5677,2010,Administration/Office,General Service,Service,5877.3467955015285,False,O,Office,False,287.61447159881726
1,6339,2008,Retail,General Retailer,Retail,89873.10916943774,False,M,Manufacturing,False,11805.03077486831
0,4959,2012,Medical Services,Professional Service,Service,11492.992483789523,False,C,Commercial,False,204.54850162352432
0,15954,1982,Auto Mechanic/Detailer/Services,General Service,Service,270551.3536319089,False,C,Commercial,False,14621.161370816624
0,4354,2014,Miscellaneous Business,Professional Service,Service,39014.310173584825,False,O,Office,False,338.2811092898456
0,7674,2005,Personal Services,General Service,Service,23598.53747586076,False,C,Commercial,False,11531.0066276135
0,1026,2023,Recreation-Instruction/Training,General Service,Service,92005.97999106032,False,C,Commercial,False,688.7124684346393
1,10870,1996,Home Occupation,General Service,Service,6797.970877317644,False,R-1,Residential,True,5206.703019499735
1,1112,2023,Retail,General Retailer,Retail,29222.4929331776,True,C,Commercial,False,0.0
0,1127,2023,Retail,Downtown Association,Downtown Association,29222.4929331776,True,C,Commercial,False,0.0
1,4769,2013,Miscellaneous Business,Downtown Association,Downtown Association,9057.02246768148,False,O,Office,False,14.769037686212595
1,6232,2009,Misc Business Services,General Service,Service,80475.7869741603,False,C,Commercial,False,12702.07855382758
1,15954,1982,Apparel/Accessories,Downtown Association,Downtown Association,1993.1090603504392,True,C,Commercial,False,0.0
0,5602,2010,Home Occupation,General Manufacturer,Other,5840.912561983799,False,R-1,Residential,True,4131.456913634746
0,2998,2017,Repair Services,General Service,Service,3858.144535542665,False,R-2,Residential,False,367.0848045087926
1,10228,1998,Misc Business Services,General Service,Service,5023.855773786691,False,O,Office,False,1756.750126889655
1,2318,2019,Home Occupation,General Service,Service,7264.812258308603,False,R-1,Residential,True,5095.144286008675
0,1810,2021,Real Estate Broker,Professional Service,Service,98558.526567752,False,M,Manufacturing,False,8686.44642663586
0,3112,2017,Professional,Professional Service,Service,7949.164934073776,False,C,Commercial,False,4390.937269486134
1,6099,2009,Contractor- Specialty,Contractor,Service,126267.55969911172,False,M,Manufacturing,False,10895.186662614502
0,14396,1986,"Wholesale, Distributors",General Wholesaler,Other,14769.44968758614,False,C,Commercial,False,2214.105158690033
1,13961,1987,Real Estate Agent,Professional Service,Service,20034.54501077543,False,C,Commercial,False,10047.011298287174
0,10614,1997,Real Estate Agent,Downtown Association,Downtown Association,33887.55535048208,False,O,Office,False,121.241363295175
1,4552,2013,Professional,Professional Service,Service,184101.44886612767,False,C,Commercial,False,8255.332489868859
0,10154,1998,Communications,Utilities/Transportation,Other,12271.382055511807,False,C,Commercial,False,4601.828672995615
0,1101,2023,Retail,General Retailer,Retail,9971.341374897253,False,C,Commercial,False,414.0406912634933
1,618,2024,Health Spa/Fitness,General Service,Service,100987.56764073543,False,C,Commercial,False,3318.2355861532674
1,10187,1998,Manufacturing,General Manufacturer,Other,11745.042430869958,False,M,Manufacturing,False,8592.51785112787
1,1659,2021,Home Occupation,General Retailer,Retail,4521.397676218029,False,R-2,Residential,True,6458.439993991612
1,2500,2019,Home Occupation,General Service,Service,8484.590587293696,False,R-1,Residential,True,4136.050843891328
0,1967,2020,Professional,Professional Service,Service,23370.49877940152,True,C,Commercial,False,0.0
0,3875,2015,Auto Mechanic/Detailer/Services,General Service,Service,20194.544222754183,False,C,Commercial,False,480.3684047667441
1,12499,1991,Auto Mechanic/Detailer/Services,General Service,Service,20194.544222754183,False,C,Commercial,False,480.3684047667441
0,8276,2003,Motor Vehicle Sales,General Retailer,Retail,50446.2616214038,False,C,Commercial,False,5480.734176780878
0,15589,1983,Home Occupation,General Service,Service,231991.8356934611,False,R-2,Residential,True,8517.36577994878
1,3662,2016,Miscellaneous Business,General Service,Service,231991.8356934611,False,R-2,Residential,False,8517.36577994878
1,7430,2005,Personal Services,Downtown Association,Downtown Association,37187.77312983599,True,C,Commercial,False,0.0
0,546,2024,Contractor- General,General Service,Service,24250.5493560914,False,R-3,Residential,False,140.33326791053275
1,7427,2005,Apparel/Accessories,Downtown Association,Downtown Association,9019.432868087051,False,C,Commercial,False,112.76546755874016
0,6000,2009,Home Occupation,General Service,Service,8956.910938056744,False,R-1,Residential,True,3766.6568648198568
1,10167,1998,"Accounting,Auditing/CPA/Tax Service",General Service,Service,38881.45739531492,False,O,Office,False,1732.4112032168428
1,5607,2010,Rental- Residential,Residential Rental,Rental,6030.862610159006,False,R-1,Residential,False,11227.724790718668
1,4350,2014,Contractor- Specialty,Contractor,Service,156225.5631969689,False,C,Commercial,False,10647.730982646452
0,9186,2001,Rental- Residential,Residential Rental,Rental,6015.479684853561,False,R-1,Residential,False,7093.559045416904
1,5455,2011,Auto Mechanic/Detailer/Services,General Service,Service,10545.09458446518,False,M,Manufacturing,False,8547.55846480418
0,1418,2022,Rental- Residential,Residential Rental,Rental,282663.4622377588,False,R-2,Residential,False,11723.054286484785
0,4957,2012,Home Occupation,Contractor,Service,6981.710714561705,False,R-1,Residential,True,9867.231702572784
1,3489,2016,Home Occupation,Massage Therapist,Service,1419.1501897951011,False,R-3,Residential,True,5652.699635481134
1,8529,2002,Personal Services,Massage Therapist,Service,45470.35138487366,False,C,Commercial,False,1380.5874379332497
1,920,2023,Home Occupation,General Service,Service,5961.87962451553,False,R-1,Residential,True,9398.230413740945
1,4685,2013,Home Occupation,General Retailer,Retail,6568.953987501252,False,R-1,Residential,True,2274.903219530594
0,4613,2013,Massage,Massage Therapist,Service,33887.55535048208,False,O,Office,False,147.76395074544791
1,2373,2019,Massage,Massage Therapist,Service,1276753.8336216302,False,C,Commercial,False,4316.724348388988
0,856,2023,Home Occupation,General Service,Service,192529.2080384884,False,R-3,Residential,True,10174.451671478328
1,5070,2012,Apparel/Accessories,Downtown Association,Downtown Association,15791.53670446506,True,C,Commercial,False,0.0
1,15954,1982,Beauty Salon,Downtown Association,Downtown Association,25612.19802099457,True,C,Commercial,False,0.0
0,1374,2022,Rental- Residential,Residential Rental,Rental,1681.8132272720227,False,R-3,Residential,False,5355.352083960923
1,8120,2003,Food Store,General Retailer,Retail,7190.355462233589,False,R-1,Residential,False,4884.561593293666
1,6855,2007,Home Occupation,General Service,Service,12614.813133083922,False,R-1,Residential,True,9625.149479936052
1,3448,2016,Designer/Illustrator/Decorator,General Wholesaler,Other,2446753.7045880742,False,C,Commercial,False,25973.78142580257
1,4551,2013,Rental- Residential,Residential Rental,Rental,1634.6200508732104,False,R-2,Residential,False,13656.0165535233
0,1439,2022,Rental- Residential,Residential Rental,Rental,6579.938765095832,False,R-1,Residential,False,4045.3629523558016
0,1439,2022,Rental- Residential,Residential Rental,Rental,9246.407269012416,False,R-1,Residential,False,3979.029082504505
1,5541,2011,Home Occupation,General Service,Service,4918.950428496017,False,R-1,Residential,True,4404.583783819163
1,1064,2023,Home Occupation,General Service,Service,7514.56101606192,False,R-2,Residential,True,3051.1161540177663
0,1766,2021,Home Occupation,General Retailer,Retail,6190.008244897132,False,R-1,Residential,True,7053.986608894637
0,1541,2021,Home Occupation,Contractor,Service,184101.44886612767,False,C,Commercial,True,8255.332489868859
1,9039,2001,Rental- Residential,Residential Rental,Rental,57063.80266201096,False,R-3,Residential,False,10688.063083725268
0,9388,2000,Beauty Salon,Downtown Association,Downtown Association,7170.125167957734,True,C,Commercial,False,0.0
1,9052,2001,Rental- Residential,Residential Rental,Rental,8048.064564327157,False,R-1,Residential,False,5937.049159729173
0,5650,2010,Rental- Residential,Residential Rental,Rental,185323.2386382953,False,R-3,Residential,False,7774.589555646758
1,5656,2010,Rental- Residential,Residential Rental,Rental,333912.2376080268,False,R-3,Residential,False,6682.277287846864
1,12401,1992,Rental- Residential,Residential Rental,Rental,4503.196849852597,False,O,Office,False,30.439612742656852
0,33,2026,Home Occupation,Professional Service,Service,8613.634408210804,False,R-1,Residential,True,12622.271123490636
1,5653,2010,Rental- Residential,Residential Rental,Rental,7909.912807477922,False,R-1,Residential,False,12135.082811283257
1,5651,2010,Rental- Residential,Residential Rental,Rental,174830.0224044298,False,R-2,Residential,False,7561.833115312173
1,5657,2010,Rental- Residential,Residential Rental,Rental,8761.388632886465,False,R-3,Residential,False,3191.9486345828955
1,9040,2001,Personal Services,Downtown Association,Downtown Association,37187.77312983599,True,C,Commercial,False,0.0
1,14250,1987,Architect,Professional Service,Service,6158.918857655929,False,R-1,Residential,False,7222.223212311674
1,5652,2010,Rental- Residential,Residential Rental,Rental,27726.69781839679,False,R-4,Residential,False,4169.740751542219
1,5651,2010,Rental- Residential,Residential Rental,Rental,69264.73601447264,False,R-1,Residential,False,11392.200689058336
1,11217,1995,Rental- Residential,Residential Rental,Rental,7124.986503140777,False,R-1,Residential,False,7242.3292321812605
0,12408,1992,Rental- Residential,Residential Rental,Rental,5978.492260953406,False,R-1,Residential,False,2498.890870836274
0,5611,2010,Rental- Residential,Residential Rental,Rental,12112.660498979272,False,R-4,Residential,False,7086.666250533984
1,9206,2000,Rental- Residential,Residential Rental,Rental,49918.801614484895,False,R-1,Residential,False,9817.77910642644
1,9144,2001,Rental- Residential,Residential Rental,Rental,8313.453152668179,False,R-1,Residential,False,11839.057394505751
1,7666,2005,Home Occupation,General Wholesaler,Other,7440.886096656755,False,R-3,Residential,True,1609.8121795978452
1,15589,1983,Medical Services,Professional Service,Service,36400.39777929863,False,PF,Public,False,4097.141772737705
1,5609,2010,Rental- Residential,Residential Rental,Rental,7693.907354760146,False,R-1,Residential,False,11466.378100832444
1,5657,2010,Rental- Residential,Residential Rental,Rental,28217.29620687005,False,R-2,Residential,False,2361.8224637400585
0,1425,2022,Rental- Residential,Residential Rental,Rental,4402.997230166548,False,R-1,Residential,False,11262.458063854016
1,12399,1992,Rental- Residential,Residential Rental,Rental,7103.048165026177,False,C,Commercial,False,2926.955177460752
0,5657,2010,Rental- Residential,Residential Rental,Rental,59233.36639189376,False,R-1,Residential,False,6037.417184650315
0,5652,2010,Rental- Residential,Residential Rental,Rental,8761.388632886465,False,R-3,Residential,False,3191.9486345828955
0,12356,1992,Rental- Commercial,Commercial Rental Property,Rental,280339.7553697344,False,O,Office,False,7124.0997033404665
1,8094,2004,Rental- Residential,Downtown Association,Downtown Association,3548.816341032344,False,O,Office,False,0.0
0,10294,1997,Financial Institution,Downtown Association,Downtown Association,23370.49877940152,True,C,Commercial,False,0.0
1,15954,1982,Apparel/Accessories,Downtown Association,Downtown Association,40800.80106152653,True,C,Commercial,False,0.0
1,9116,2001,Rental- Residential,Residential Rental,Rental,7131.124621047883,False,R-1,Residential,False,5485.639065788239
1,3962,2015,Rental- Commercial,Downtown Association,Downtown Association,3717.13368080076,True,C,Commercial,False,0.0
1,12695,1991,Retail,General Retailer,Retail,16832.75885619697,False,C,Commercial,False,5359.557482978878
0,7039,2006,Massage,Downtown Association,Downtown Association,37187.77312983599,True,C,Commercial,False,0.0
1,6693,2007,Retail,Downtown Association,Downtown Association,2706.6828841833467,True,C,Commercial,False,0.0
1,7010,2006,Financial Institution,General Service,Service,58656.3896638356,False,O,Office,False,156.9671023952917
0,1457,2022,Rental- Residential,Residential Rental,Rental,44880.09596243799,False,R-1,Residential,False,7264.732583568536
1,15223,1984,Business/ Services/ Professions,General Service,Service,18356.06145977788,False,C,Commercial,False,9120.936907937372
1,9971,1998,Misc Business Services,General Service,Service,106512.53266634536,False,C,Commercial,False,11797.329558176352
1,10214,1998,Misc Business Services,General Service,Service,328946.8744863285,False,C,Commercial,False,9999.896093848378
1,996,2023,Apparel/Accessories,Downtown Association,Downtown Association,19688.68976216909,True,C,Commercial,False,0.0
1,1757,2021,Caterer,General Retailer,Retail,45217.63094860744,False,C,Commercial,False,16611.084400673535
1,3202,2017,Entertainment,General Service,Service,1711.5875383050925,False,R-2,Residential,False,13562.849025107123
1,1675,2021,Caterer,General Retailer,Retail,85640.01699504977,False,C,Commercial,False,8935.549108475205
1,1781,2021,Caterer,General Retailer,Retail,21265.475283439107,False,C,Commercial,False,4273.171303323049
1,1697,2021,Beauty Salon,General Service,Service,8054.373654017311,False,C,Commercial,False,2631.78065347459
0,23,2026,Health Spa/Fitness,General Service,Service,28930.910947524146,False,O,Office,False,1814.6413556158027
