DBA,Business type,Bus address,Start date,Close date,License description,Rate type (STD),type,long,lat,closure_time,censor,zone,parcel,sq(ft),is_downtown_association,zone_type,is_home_occ,ft to downtown
Carecraft Pools,Contractor- Specialty,710 FIERO LN # 21,2022-06-20,,Pool Contractor,Contractor,Service,-120.643310648556,35.244103973114,1355,0,BP,053-423-021,103856.9787977616,False,Commercial,False,13275.79930334867
Carefree Pools,Contractor- Specialty,202 TANK FARM RD STE B,2009-05-18,,Service and Repair and Remodels,Contractor,Service,-120.668101972875,35.246860459719,6136,0,C,053-251-067,172554.22759999588,False,Commercial,False,10621.086186438099
Carefree Pools & Spas,Contractor- Specialty,223 GRANADA DR STE D,2000-03-09,2008-09-15,,Contractor,Service,-120.667952171775,35.251065867905,9493,1,C,053-252-034,18273.1801761368,False,Commercial,False,9090.333345602723
Carhill Condominium,Rental- Residential,1239 E FOOTHILL BLVD #111,2010-09-17,2012-06-12,,Residential Rental,Rental,-120.663233205767,35.295215907984,5649,1,R-4,052-072-024,27726.69781839679,False,Residential,False,4169.740751542219
Caribbean Love,Massage,1024 MILL ST,2024-06-10,,Haircut/Treatments for Hair and Massage,Massage Therapist,Service,-120.662479855447,35.283738218363,634,0,O,002-314-036,9252.69677186998,False,Office,False,193.62456609628467
Carl & Karen Bockhahn,Rental- Residential,668 JOHNSON AVE,1992-03-16,2006-07-13,,Residential Rental,Rental,-120.659227389618,35.288160085028,12408,1,R-3,001-124-017,4353.054050666188,False,Residential,False,1650.4476399903904
Carl & Stephanie Kleinman,Rental- Residential,1019 SOUTHWOOD DR UNIT G,2022-03-10,,Condo Rental,Residential Rental,Rental,-120.643589725133,35.266039413357,1457,0,R-3,004-965-001,333912.2376080268,False,Residential,False,6633.47122406512
Carl And Gerry's Auto Detailing,Auto Mechanic/Detailer/Services,1144 HIGUERA ST,2007-09-21,,,General Service,Service,-120.658724080854,35.282386873559,6741,0,C,002-436-021,9047.34278675804,False,Commercial,False,15.765693290236182
Carl and Lisa Adams,Rental- Residential,3591 SACRAMENTO DR # 31,2022-09-01,,rental,Residential Rental,Rental,-120.642081874588,35.255206177913,1282,0,C,053-234-003,76045.2036602782,False,Commercial,False,10024.543732764067
"Carl E Johnson, MD",Medical Services,24 LAS PRADERAS DR,1984-07-01,2019-05-19,,Professional Service,Service,-120.677198507204,35.245645460402,15223,1,R-1,053-273-024,6408.949442505871,False,Residential,False,11528.475231596996
Carl E. Kleinman Accountancy Corp.,"Accounting,Auditing/CPA/Tax Service",3209 CHERRY LANE,2017-02-06,2025-04-15,C P A Providing Tax Prep & Related Consulting Services,Professional Service,Service,-120.660938780492,35.256285343581,3315,1,R-1,053-433-022,10888.278938580546,False,Residential,False,7342.182174184596
Carl Meissner,Rental- Residential,1570 LA CITA CT,2010-09-02,2012-06-30,,Residential Rental,Rental,-120.641605474739,35.270122879567,5664,1,R-1,004-971-043,6399.143868708572,False,Residential,False,6048.299101575951
Carl Warren & Co,Insurance Agent/Broker,1012 PACIFIC ST STE A1,1981-07-01,2020-01-01,Claims processing,Downtown Association,Downtown Association,-120.659259428395,35.279808275553,16319,1,O,002-443-019,8974.768522599308,False,Office,False,0.0
Carl's Jr. # 1100654,Restaurant,195 N SANTA ROSA ST,1993-02-05,2018-06-23,Restaurant,General Retailer,Retail,-120.669502,35.29549,12082,1,C,052-332-041,15103.821983446693,False,Commercial,False,4909.046543746741
Carl's Jr. #1100289,Restaurant,3980 BROAD ST,1997-07-28,,Restaurant,General Retailer,Retail,-120.64313562441,35.248657290421,10448,0,C,053-081-060,106512.53266634536,False,Commercial,False,11850.600810810382
Carla Walker & Tom Tronstad,Rental- Residential,1245 HIGUERA ST,2017-07-25,,Rental Property,Residential Rental,Rental,-120.657240756034,35.283119762235,3146,0,O,002-332-003,6783.447603882115,False,Office,False,348.53513266663106
Carlas Fashion,Apparel/Accessories,1352 MADONNA RD,2004-07-08,2006-11-08,,General Retailer,Retail,-120.690205583812,35.256899610529,7911,1,C,004-611-078,328946.8744863285,False,Commercial,False,9992.045883792309
Carleaux,Home Occupation,109 CERRO ROMAULDO AVE,2023-03-25,2023-03-26,,General Retailer,Retail,-120.686548373611,35.29526977748,1077,1,R-1,052-312-027,6829.165268796877,False,Residential,True,8068.218791145047
Carlie Peterson,Attorney at Law,1141 PACIFIC ST I,2017-10-23,,Criminal Defense Attorney,Professional Service,Service,-120.657592688849,35.280673081094,3056,0,O,002-446-028,18277.68557006998,False,Office,False,28.006788526894066
Carlo Capraro,Rental- Residential,4573 WAVERTREE ST,2010-12-03,,Residential Property Rental,Residential Rental,Rental,-120.628594021742,35.245947462109,5572,0,R-1,053-303-053,4961.320830110513,False,Residential,False,15129.953345484213
Carlos & Wendy Pozo,Rental- Residential,55 STENNER ST APT I,2003-06-04,2019-04-30,Rental,Residential Rental,Rental,-120.663399508894,35.292458870036,8311,1,R-3,052-192-009,8761.388632886465,False,Residential,False,3191.9486345828955
Carlos Cleaning,Home Occupation,710 E FOOTHILL BLVD 1,2006-11-08,,Cleaning Services,General Service,Service,-120.673602682971,35.294155455479,7058,0,R-4,052-041-045,8250.498441897449,False,Residential,True,5189.001433020803
Carlos Cortez,Rental- Residential,1102 LAKEVIEW ST,2004-10-28,2007-08-20,,Residential Rental,Rental,-120.686797905262,35.262468692185,7799,1,R-1,004-381-043,7448.713916258528,False,Residential,False,7886.577259313035
Carlos Cortez,Rental- Residential,1102 LAKEVIEW ST,2010-09-02,2015-03-06,,Residential Rental,Rental,-120.686797905262,35.262468692185,5664,1,R-1,004-381-043,7448.713916258528,False,Residential,False,7886.577259313035
Carlson Family Trust 2000,Rental- Residential,493 ISLAY ST,2010-09-09,2015-12-03,,Residential Rental,Rental,-120.66370353254,35.273353625014,5657,1,R-2,003-622-017,7764.713697486735,False,Residential,False,1135.2499862568516
Carlton H. Brown Sr. Family Trust,Rental- Residential,1810 VICENTE DR,2022-02-01,,Rental,Residential Rental,Rental,-120.68710337142,35.255687204524,1494,0,R-1,004-413-035,5406.129030114292,False,Residential,False,9681.66673652648
"Carma Works, Inc.",Contractor- General,785 W FOOTHILL BLVD,2013-04-10,2016-11-23,Prop Mgmt & Leaseholders Needing Property Renovated,Contractor,Service,-120.704989884048,35.283279147498,4713,1,C,067-091-001,2790952.745566932,False,Commercial,False,11284.290674616206
Carmel & Naccasha LLP,Legal Services,694 SANTA ROSA ST,2004-09-03,,Legal Services,Professional Service,Service,-120.662124316257,35.285216080768,7854,0,O,002-315-027,5888.973168208912,False,Office,False,569.7782724506518
Carmel Property Management,Rental- Residential,1518 CARMEL ST,2000-12-18,,,Residential Rental,Rental,-120.665449360446,35.27330575472,9209,0,R-2,003-614-018,7500.54552498112,False,Residential,False,1002.4541838371752
"Carmel Street Associates, L P",Rental- Residential,433 PACIFIC ST,2010-09-14,,,Residential Rental,Rental,-120.666571314487,35.275248254742,5652,0,R-4,003-513-019,19851.48929253789,False,Residential,False,298.9919564155134
Carmel Tom Rental,Rental- Residential,389 JEFFREY DR,2016-10-11,2017-07-27,Residential Rental Property,Residential Rental,Rental,-120.680777608192,35.297348939489,3433,1,R-1,052-402-013,6412.593247196109,False,Residential,False,7411.377189602777
"Carnac, Inc. Dba Fast Undercar","Wholesale, Distributors",3523 S HIGUERA ST STE E,1994-05-03,2020-06-01,Wholesale Auto Repair Parts,General Wholesaler,Other,-120.669464686038,35.253659663441,11630,1,C,053-252-080,184101.44886612767,False,Commercial,False,8190.1127996795085
Carnival Auto Detailing,Home Occupation,524 MITCHELL DR,2022-04-04,2023-07-01,Mobile Vehicle Detailing Service,General Service,Service,-120.655795,35.265335,1432,1,R-1,004-912-027,7201.239899141676,False,Residential,True,4702.493477296413
Carol A Gomes,Rental- Residential,2415 LAWTON AVE,2010-09-10,2024-01-24,Residential Rental Property,Residential Rental,Rental,-120.656990645656,35.267123864021,5656,1,R-1,004-902-004,5646.823166204955,False,Residential,False,3960.0398061302726
Carol A Greiten,Insurance Agent/Broker,11555 LOS OSOS VALLEY RD C9,1987-01-02,2012-06-01,,General Service,Service,-120.691247739968,35.257040924851,14308,1,O,053-102-030,25614.63317779357,False,Office,False,10182.892120260978
"Carol A. Yoder, LMFT",Counseling,867 PACIFIC ST STE 220,2020-02-01,2021-01-31,Marriage and Family Therapy,Downtown Association,Downtown Association,-120.660699676665,35.278796100972,2225,1,O,003-528-009,8418.389202798851,False,Office,False,0.0
Carol Brookshire And John Steventon,Rental- Residential,3057 S HIGUERA ST #183,2010-08-31,2012-05-31,,Residential Rental,Rental,-120.668544371584,35.258891336617,5666,1,C,053-034-063,28741.170103438617,False,Commercial,False,6266.815613009545
Carol Caccese,Rental- Residential,573 BLUEROCK DR,2000-12-19,,,Residential Rental,Rental,-120.65416447384,35.262670293365,9208,0,R-1,004-944-034,4521.600591807643,False,Residential,False,5786.638906097396
Carol Dawn CMT,Personal Services,1171 TORO ST #C2,1974-07-01,,Health Services,Massage Therapist,Service,-120.657429912342,35.282300478485,18876,0,O,002-437-026,33887.55535048208,False,Office,False,147.76395074544791
"Carol Gandy, Licensed Marriage & Family Therapist",Professional,11555 LOS OSOS VALLEY RD STE 200,2012-01-27,2014-06-20,Counseling Service For Individuals & Couples,Professional Service,Service,-120.691247739968,35.257040924851,5152,1,O,053-102-030,25614.63317779357,False,Office,False,10182.892120260978
Carol J Voorhis Tre Etal,Rental- Commercial,1304 ELLA ST STE C,1997-08-28,,,Commercial Rental Property,Rental,-120.650026975363,35.276804548056,10417,0,O,003-578-047,29155.05448727955,False,Office,False,2625.899027828088
Carol L Bennett,Rental- Residential,17 VISTA LN,2001-04-18,2010-03-01,,Residential Rental,Rental,-120.679272780731,35.240756390795,9088,1,R-1,053-263-021,3714.8126955735215,False,Residential,False,13411.045946763525
Carol L Misson Ma,Medical Services,894 MEINECKE AVE D,1999-07-22,,,Professional Service,Service,-120.667612981803,35.292453203164,9724,0,O,052-174-043,20969.22290348807,False,Office,False,3671.696228014038
"Carol L Phillips DDS, Inc",Dental,3046 S HIGUERA ST STE C,1985-09-05,2024-12-31,Healthcare,Professional Service,Service,-120.668660928834,35.258776633378,14792,1,C,053-041-068,88574.53168290893,False,Commercial,False,6312.316620037789
Carol Maxwell Lmft,Medical Services,11549 LOS OSOS VALLEY RD STE 206,2007-03-12,2015-06-30,Psychotherapy,Professional Service,Service,-120.691294089766,35.257099396917,6934,1,O,053-102-030,25614.63317779357,False,Office,False,10178.675818173379
"Carol Maxwell, LMFT",Home Occupation,234 ALMOND ST,2014-10-17,2016-07-31,Licensed Marriage And Family Therapist,Professional Service,Service,-120.670072889688,35.287880276062,4158,1,R-1,001-103-013,5465.029715472846,False,Residential,True,2732.6724232716256
Carol Mees,Rental- Residential,58 LOS VERDES DR,2008-02-25,2013-10-07,,Residential Rental,Rental,-120.67751050564,35.244181971153,6584,1,R-1,053-262-094,692267.4662046115,False,Residential,False,12065.724753794226
"Carol N. Rowsemitt, Ph.D, RN, FNP",Medical Services,1061 MURRAY AVE,2013-06-05,2015-12-30,Nurse Practitioner - Weight Mgmnt & Thyroid Disorders,Professional Service,Service,-120.665400550111,35.290871015027,4657,1,O,001-034-002,21842.225519096133,False,Office,False,2845.1287688004572
Carol Pappas,Retail,2416 LADERA CT,1992-03-23,2016-12-19,Natural and Organic Wellness,General Retailer,Retail,-120.65921387196,35.266046309135,12401,1,R-1,004-823-020,7377.469186124808,False,Residential,False,4047.7142945418614
Carol Peacock,Rental- Residential,42 DEL SOL CT,2011-01-25,2014-01-08,Residential Rental Property,Residential Rental,Rental,-120.676444059965,35.243724649876,5519,1,R-1,053-262-094,692267.4662046115,False,Residential,False,12141.186107322026
Carol Ray R.N.,Business/ Services/ Professions,1802 PINECOVE DR,2018-01-23,2023-06-23,Nursing Consultant,Professional Service,Service,-120.68516792676,35.256835972838,2964,1,R-1,004-622-028,5891.227874987806,False,Residential,False,8990.920983939717
Carol Rose Health & Nutrition Consulting,Consultant,3292 VIA ENSENADA,2017-10-02,2019-08-27,Health Consulting/Coaching,General Service,Service,-120.667515770088,35.255582973287,3077,1,R-2,053-184-032,81110.11578840249,False,Residential,False,7441.461690759579
Carol Schwindler,Rental- Residential,448 PISMO ST,2005-06-20,2006-12-11,,Residential Rental,Rental,-120.665737298896,35.274664989994,7564,1,R-3,003-513-011,7719.023414422073,False,Residential,False,501.1681743520257
Carol Sexton,Homestay,327 CHRISTINA WAY,2016-06-14,,Homestay,General Service,Service,-120.682481432671,35.296504004031,3552,0,R-1,052-382-027,7369.650873724177,False,Residential,False,7499.963820479486
Carol Silva Hairstylist,Beauty Salon,475 MARSH ST,2017-06-28,2018-10-26,Hair Services,General Service,Service,-120.6666843049,35.276284165419,3173,1,C,003-512-007,18925.86233677276,False,Commercial,False,63.71962411691587
"Carol, Kirk Or Linda Spiegel",Rental- Residential,624 GROVE ST,2001-03-08,2009-07-29,,Residential Rental,Rental,-120.65612212063,35.290475213661,9129,1,R-1,001-062-018,7505.697112254792,False,Residential,False,2784.888424865586
Carole Burns,Medical Services,1313 PACIFIC ST,2005-03-28,2006-08-09,,Professional Service,Service,-120.654942299261,35.282364832586,7648,1,O,002-343-027,9405.67721938189,False,Office,False,890.429922706078
Carole Hazeltine Banth,Rental- Residential,1214 CORAL ST,1992-04-06,2006-08-01,,Residential Rental,Rental,-120.6883213,35.2599289,12387,1,R-1,004-462-009,11894.527659029323,False,Residential,False,8829.935548955606
Carolee McDonnell,Rental- Residential,1335 TANGLEWOOD DR,2003-03-17,2024-04-30,,Residential Rental,Rental,-120.637674438975,35.263163125193,8390,1,R-1,004-704-009,8109.374659104179,False,Residential,False,8599.462500300915
"Caroline Cerussi, LMFT",Counseling,1407 GARDEN ST,2025-01-30,,Psychotherapy,Professional Service,Service,-120.661457646684,35.277046859359,400,0,O,003-533-004,5877.3467955015285,False,Office,False,287.61447159881726
Caroline Greska Rental,Rental- Residential,992 BLUEBELL WAY,2014-06-17,2016-05-31,Residential Rental Property,Residential Rental,Rental,-120.637153660922,35.249117766383,4280,1,R-2,053-080-033,186335.47235332936,False,Residential,False,12684.60034643256
Caroline Phan,Rental- Residential,1991 HAYS ST,2010-09-16,2020-06-10,Rental - Residential,Residential Rental,Rental,-120.650754695446,35.295041026706,5650,1,R-1,052-122-010,5056.144878962672,False,Residential,False,5031.099464093863
"Carollo Engineers, Inc",Engineer,444 HIGUERA ST STE 202,2002-11-04,,Engineering Consulting,Professional Service,Service,-120.668804012788,35.275936161037,8523,0,C,002-511-029,17303.698916859114,False,Commercial,False,694.8522081129619
Carolyn And Ed Salas,Rental- Residential,1346 MORRO ST,2010-09-13,,Rental-Residential,Residential Rental,Rental,-120.6599397278,35.278741249448,5653,0,R-3,002-447-010,23702.365542619176,False,Residential,False,22.84582720589003
Carolyn Elliott,Beauty Salon,3596 BROAD ST STE 100,2003-05-05,2020-06-04,Permanent Makeup Clinic,General Service,Service,-120.645844077805,35.254039349607,8341,1,C,053-234-001,113632.1974917182,False,Commercial,False,9759.551832828785
Carolyn F Taylor,Rental- Residential,163 DEL NORTE WAY,2001-03-21,,Rental-Residental,Residential Rental,Rental,-120.684436244381,35.293329864837,9116,0,R-1,052-353-007,6376.0572439523485,False,Residential,False,7134.385198709167
Carolyn Freitas,Rental- Residential,1106 OCEANAIRE DR APT 11,2006-01-05,2013-06-14,,Residential Rental,Rental,-120.693448199954,35.260804785786,7365,1,R-3,004-311-063,174443.82247309052,False,Residential,False,9839.806179367322
Carolyn Harrington,Beauty Salon,464 MARSH ST STE A,2004-08-27,2006-08-03,,General Service,Service,-120.666894285704,35.276299544849,7861,1,C,003-511-018,9019.432868087051,False,Commercial,False,112.76546755874016
Carolyn Le Duc Rental,Rental- Residential,1750 PREFUMO CANYON RD #37,2011-08-29,2013-12-31,Residential Rental Property,Residential Rental,Rental,-120.701217913149,35.261296305413,5303,1,R-2,053-243-093,282663.4622377588,False,Residential,False,11723.054286484783
Carolyn M Craig,Rental- Residential,103 CALIFORNIA BLVD #1-4,1992-03-23,,Rental Property,Residential Rental,Rental,-120.664810362449,35.296131801336,12401,0,R-4,073-341-042,22350281.30078893,False,Residential,False,4589.743241950958
Carolyn R Henderson Lmft,Medical Services,641 HIGUERA ST STE 202,2005-03-14,2016-05-30,Mental Health,Downtown Association,Downtown Association,-120.665155123676,35.2784155456,7662,1,C,002-422-019,12104.813733428864,True,Commercial,False,0.0
Carolyn Stefanco,Rental- Residential,230 MARLENE DR,2021-05-01,,Residential rental property,Residential Rental,Rental,-120.682650047973,35.300758606897,1770,0,R-1,052-462-003,9050.10329461108,False,Residential,False,8735.757813715856
Caron Design,Architect,1404 BROAD ST,2009-01-26,2014-10-15,Architecture & Design,General Service,Service,-120.662297117269,35.2765531382,6248,1,O,003-533-001,3500.3770232955703,False,Office,False,280.5936744968194
"Carpe DM Consulting, Inc.",Consultant,872 HIGUERA ST,2022-04-28,2022-05-12,CLINICAL CONSULTING,Downtown Association,Downtown Association,-120.662057464433,35.280415658006,1408,1,C,002-425-009,19688.68976216909,True,Commercial,False,0.0
Carpet Discount Center,Contractor- Specialty,2930 MCMILLAN AVE UNIT D,2000-04-13,,Flooring Sales,Contractor,Service,-120.648035647124,35.263309013422,9458,0,M,053-202-024,17949.626473822624,False,Manufacturing,False,6586.3747267727695
Carr & Carr Exhibit Services,Home Occupation,615 LAWRENCE DR,1995-02-01,,,General Service,Service,-120.654075337554,35.264016865785,11356,0,R-1,004-942-014,7019.842824254284,False,Residential,True,5376.774896057341
Carr Dash,Home Occupation,1106 OCEANAIRE DR #22,2022-01-13,2024-12-31,RIdeshare and Delivery,General Service,Service,-120.693448199954,35.260804785786,1513,1,R-3,004-311-063,174443.82247309052,False,Residential,True,9839.806179367322
Carrie Fell,Rental- Residential,1247 ATASCADERO ST,2019-07-22,,Residential Rental,Residential Rental,Rental,-120.688237193862,35.258547168836,2419,0,R-1,004-531-011,6295.679373367135,False,Residential,False,9152.741597490252
Carroll Building Company,Contractor- General,2653 VICTORIA + 2 RENTALS,1985-12-30,2024-06-30,General Contractor,Contractor,Service,-120.652068,35.265924,14676,1,C,004-925-013,5628.470436176503,False,Commercial,False,5135.133215201674
Carroll Construction,Home Occupation,3350 BULLOCK LN APT 8,1989-02-08,,,Contractor,Service,-120.64283279669,35.259732060105,13540,0,R-3,053-071-010,21844.831743420145,False,Residential,True,8557.114596244664
Carroll Modglin,Rental- Residential,493 E FOOTHILL BLVD,2010-09-09,2016-03-31,,Residential Rental,Rental,-120.677045726175,35.294064916118,5657,1,R-2,052-155-030,8667.373399977987,False,Residential,False,5786.668861475396
Cars Go Fast,Home Occupation,530 ELLEN WAY,2006-10-25,2012-11-07,Online Racing Magazine,General Service,Service,-120.662196442958,35.289549331558,7072,1,R-1,001-041-027,6992.976038100112,False,Residential,True,2084.164655839438
Cars R Us,Retail,2923 S HIGUERA ST 1,2017-11-16,2018-12-31,Vehicle Sales Retail / Wholesale,General Retailer,Retail,-120.668953782763,35.260695439254,3032,1,C,053-032-001,42644.42353308406,False,Commercial,False,5631.694972057108
"Carsel & Borjas, Llp",Attorney at Law,3220 S HIGUERA ST STE 311,2019-07-24,,Legal Services,Professional Service,Service,-120.66872252079,35.256658784143,2417,0,O,053-041-039,52241.25186367986,False,Office,False,7080.311324189817
"Carsel & Frederickson, L L P",Legal Services,3220 S HIGUERA ST STE 311,2016-07-07,2016-08-31,Legal/Attorney Services,Professional Service,Service,-120.66872252079,35.256658784143,3529,1,O,053-041-039,52241.25186367986,False,Office,False,7080.311324189817
Carswell Rakoobian Inc.,Caterer,3000 BROAD ST 111,2025-07-11,,"Catering, food, wholesale drop offs, consulting for food businesses, rentals and event help",General Service,Service,-120.650740829964,35.26243522248,238,0,C,053-196-009,52276.015984575344,False,Commercial,False,6412.698144733273
Carter & Co Real Estate Group,Real Estate Broker,1221 SYLVIA CT,2016-10-27,,Real Estate Broker,Professional Service,Service,-120.649062502465,35.271567864741,3417,0,R-1,004-721-005,7119.283257646975,False,Residential,False,4042.424730032605
Carter House Productions,Home Occupation,990 BLUEBELL WAY,2007-01-30,2013-05-21,Music And Writing Services,General Service,Service,-120.637362240506,35.249016185149,6975,1,R-2,053-080-033,186335.47235332936,False,Residential,True,12681.095088537068
Carusos Deli,Restaurant,3536 S HIGUERA ST 206,1998-03-03,2009-11-16,,General Service,Service,-120.670496561271,35.252200375765,10230,1,C,053-051-048,173168.46892170244,False,Commercial,False,8757.835186938482
Casa Blancarte,Rental- Residential,1106 OCEANAIRE DR # 14,2022-05-01,,Longterm home rental.,Residential Rental,Rental,-120.693448199954,35.260804785786,1405,0,R-3,004-311-063,174443.82247309052,False,Residential,False,9839.806179367322
Casa De Ann,Rental- Residential,804 BOYSEN AVE 1-11,1982-07-01,2008-06-20,,Residential Rental,Rental,-120.671370784917,35.296261667457,15954,1,R-4,052-331-016,37466.17425700233,False,Residential,False,5445.707506424843
Casa De Thomasson,Homestay,1964 JOHNSON AVE,2014-07-25,,Homestay,General Service,Service,-120.64921878313,35.277675107593,4242,0,R-2,003-583-016,10789.343488818336,False,Residential,False,2717.4619759097022
Casa dé Veda,Beauty Salon,1050 BROAD ST,2024-06-01,2024-09-13,,Downtown Association,Downtown Association,-120.664635768391,35.279158782328,643,1,C,002-423-012,9911.76301000834,True,Commercial,False,0.0
Casa De Vida,Medical Services,879 MEINECKE AVE,1982-07-01,,medical services,General Service,Service,-120.667956769823,35.292335861489,15954,0,O,052-175-012,97009.3382058884,False,Office,False,3691.385313466428
Casa De Vinos LLC,Home Occupation,905 EL CAPITAN WAY,2008-02-01,,Viticulture and enology consulting,General Wholesaler,Other,-120.640787633375,35.246966473443,6608,0,R-2,053-410-029,6027.680908947594,False,Residential,True,12741.99716518052
Casa Demartini,Homestay,920 VISTA DEL BRISA,2015-09-15,,Homestay,General Service,Service,-120.699915992252,35.26564560469,3825,0,R-1,004-293-016,7143.50098480177,False,Residential,False,10636.52062289918
Casa Deyo,Rental- Residential,303 LAWRENCE DR,2016-01-12,2025-01-01,Residential Rental,Residential Rental,Rental,-120.658928029119,35.264007866088,3706,1,R-1,004-931-006,11475.8496291057,False,Residential,False,4780.683811703789
Casa Ketchum,Homestay,1170 ISLAY ST,2024-01-01,,Homestay,General Service,Service,-120.654664037147,35.279047237934,795,0,R-3,003-546-021,6127.436334764989,False,Residential,False,1032.6081706164825
Casa Paloma,Homestay,2306 SANTA YNEZ AVE,2019-04-09,2025-12-15,Homestay Airbnb,General Service,Service,-120.645889701679,35.293165453847,2523,1,R-1,052-136-019,26248.72151231968,False,Residential,False,5332.715330046441
Casa Pereira,Homestay,1633 PEREIRA DR,2020-08-12,,Homestay - VRBO,General Service,Service,-120.689187562594,35.256695756458,2032,0,R-1,004-422-038,10677.354494480096,False,Residential,False,9828.930205657858
Casa Questa L L C,Rental- Residential,324 CUESTA DR,2010-09-15,2025-03-31,Real estate investments,Residential Rental,Rental,-120.677242846322,35.296531442153,5651,1,R-1,052-302-013,6326.274323148802,False,Residential,False,6527.760697869065
"Casa Radiation, LLC",Rental- Commercial,100 CASA ST STE C,2000-12-19,,,Commercial Rental Property,Rental,-120.665137547058,35.293356954258,9208,0,R-4,052-182-028,59057.2108051365,False,Residential,False,3648.8153924512862
Casa Street Home Training,Misc Business Services,35 CASA ST STE 110,2014-09-30,,Kidney Dialysis Service,Professional Service,Service,-120.66556383719,35.293791580936,4175,0,O,052-181-038,59526.41170489322,False,Office,False,3840.736834790248
"Casciola & Galambos, LLP",Legal Services,1042 PALM ST STE 201,1986-01-01,,Criminal Defense Attorneys - Legal Services,Downtown Association,Downtown Association,-120.66153438826,35.283077267381,14674,0,O,002-323-031,10499.639788818871,False,Office,False,0.0
Casey Bassetti,Home Occupation,4495 SPANISH OAKS DR,2023-09-01,,Online Retail,General Retailer,Retail,-120.626258349532,35.247307703067,917,0,R-1,053-306-002,10333.811270735232,False,Residential,True,15187.344079023482
Casey McDonald Maintenance Services,Home Occupation,480 SOUTH ST APT A,2014-12-02,2018-11-28,Landscape Maintenance Services,General Service,Service,-120.661481299547,35.269567457105,4112,1,R-2,003-739-038,18033.443255736314,False,Residential,True,2627.5026197182488
Casey Robinson Enterprises,Home Occupation,459 BUCHON ST STE B,2016-06-28,2017-06-30,Cleaning Residential & Commercial Solar Panels,General Service,Service,-120.664830159852,35.273870148274,3538,1,R-2,003-614-004,10578.776878609113,False,Residential,True,870.1784169698509
Casey T Roos,Rental- Residential,645 PARK ST. AVE,2010-10-12,,Rental: Residential,Residential Rental,Rental,-120.654292469476,35.290359919699,5624,0,R-1,001-063-010,5647.664071152725,False,Residential,False,3028.328681150512
Casey Ting,Home Occupation,528 HIGUERA ST APT B,2014-07-23,2016-09-28,Photography Services,General Service,Service,-120.667230319114,35.277300362297,4244,1,C,002-402-062,5619.722712582896,False,Commercial,True,69.09855968201717
Cash4Hybrid,Motor Vehicle Sales,569 HIGUERA ST # B,2024-03-01,,Used Vehicle Dealership,Downtown Association,Downtown Association,-120.66659356929,35.277542401354,735,0,C,003-511-027,10715.31633797089,True,Commercial,False,0.0
Casita at 1570 Eto Circle,Rental- Residential,1570 ETO CIR,2021-07-01,,Residential Rental,Residential Rental,Rental,-120.695898377979,35.256044564279,1709,0,R-1,053-511-040,7097.889510591072,False,Residential,False,11469.489501827507
Casitas Potter,Homestay,1100 ATASCADERO ST,2022-03-01,2025-03-22,Short-Term Vacation Rental,General Service,Service,-120.684659603682,35.260210134468,1466,1,R-1,004-542-003,6953.15980704241,False,Residential,False,7969.56160817463
Cassandra Heller,Rental- Residential,250 WARREN WAY,2019-07-29,2024-06-30,Residential Rental,Residential Rental,Rental,-120.682132332907,35.297602455677,2412,1,R-1,052-401-007,6322.974181482075,False,Residential,False,7735.106062870241
"Cassandra Williamson RDHAP, Inc.",Dental,1311 FERNWOOD DR,2023-06-21,,Provide mobile dental hygiene care,Professional Service,Service,-120.638888787741,35.263687328001,989,0,R-1,004-572-009,6295.290054192673,False,Residential,False,8209.767681462998
Cassidy Crizer,Beauty Salon,1435 MONTEREY ST,2020-02-27,,Hairdresser,General Retailer,Retail,-120.655239713949,35.285552856009,2199,0,C,001-231-024,13062.972741582882,False,Commercial,False,1415.1374795950053
Cassie Ueberrhein Psychotherapy,Counseling,11549 LOS OSOS VALLEY RD #207,2022-01-31,,"Individual, Couples & Family Therapy",Professional Service,Service,-120.691294089766,35.257099396917,1495,0,O,053-102-030,25614.63317779357,False,Office,False,10178.675818173379
Castaneda Ben F & Janet K Trust Agreement,Rental- Residential,2907 GARIBALDI AVE,2010-09-08,2012-06-30,,Residential Rental,Rental,-120.649331190016,35.263754956853,5658,1,R-3,053-196-001,152911.7341915805,False,Residential,False,6235.588782269981
Castillo's Carpet Cleaning,Home Occupation,1631 TANGLEWOOD DR,2008-10-03,,Carpet & Janitorial Cleaning,General Service,Service,-120.633533165525,35.262989589032,6363,0,R-1,004-556-008,6646.682858609116,False,Residential,True,9550.517596205877
Castle Innovations,Retail,872 HIGUERA ST,2022-08-25,2023-07-15,Sales of Firearm Devices- Safety Equipment,Downtown Association,Downtown Association,-120.662057464433,35.280415658006,1289,1,C,002-425-009,19688.68976216909,True,Commercial,False,0.0
Castle Keep Rsc,Manufacturing,1974 FIXLINI ST,1989-12-01,2006-10-03,,General Manufacturer,Other,-120.648196980386,35.278176387492,13244,1,R-1,003-581-011,7493.525744952586,False,Residential,False,2943.899594331275
"Castle Keep Security, Inc.",Private Patrol/Security,2146 PARKER ST STE B-2,2021-04-16,2024-03-26,,General Service,Service,-120.66917499248,35.270233632151,1785,1,C,003-721-051,61014.00068540238,False,Commercial,False,2282.738650474147
