DBA,Business type,Bus address,Start date,Close date,License description,Rate type (STD),closure_time,censor,type,longitude,latitude
Babes The Beautytender,Beauty Salon,3680 BROAD ST STE 102,9/16/2024,4/24/2025,,General Service,535,1,Service,-120.6451819,35.25241062
Baby Signs By Anne,Home Occupation,1106 OCEANAIRE DR 48,2/1/2008,11/1/2009,Baby Sign Language Instructor,General Service,6607,1,Service,-120.6934482,35.26080479
Bachmann Family Trust,Rental- Residential,1228 STAFFORD ST,9/15/2010,7/7/2014,,Residential Rental,5650,1,Rental,-120.6606293,35.29210704
Back On The Racks,Retail,3536 S HIGUERA ST STE 210,8/2/2012,8/31/2013,Clothing Consignment,General Retailer,4963,1,Retail,-120.6704966,35.25220038
Back Road Motorcycle Adventures,Home Occupation,844 ESCUELA CT,1/10/2007,8/12/2009,Motorcycle Tours,General Service,6994,1,Service,-120.7000286,35.26699338
Badass Tutors,Home Occupation,191 KENTUCKY ST,6/19/2017,6/22/2022,Academic Tutoring Coaching Consulting,General Service,3181,1,Service,-120.6593207,35.29531623
Bagalini Rentals,Rental- Residential,237 LA CANADA DR,11/9/2010,11/7/2012,Residential Rental Property,Residential Rental,5595,1,Rental,-120.6788912,35.29560235
Bagheri Medical Group,Medical Services,1177 MARSH ST STE 100,12/5/2003,5/3/2022,Medical Services,Professional Service,8126,1,Service,-120.6574764,35.28185323
Bail Hotline Bail Bonds,Personal Services,972 N SANTA ROSA ST STE A,4/28/2015,3/31/2018,Insurance - Administration/Clerical Work,Downtown Association,3964,1,Downtown Association,-120.6602074,35.28305073
Bailey Infi-90 Parts,Retail,1737 CHORRO ST,10/13/2016,6/15/2023,Internet Sales Of Electronic Parts,General Retailer,3430,1,Retail,-120.6585016,35.27492164
Bailey-Ralston Family Trust,Rental- Residential,124 STENNER ST,8/26/2010,11/25/2015,,Residential Rental,5670,1,Rental,-120.6632663,35.29200801
Baja Bob's,Misc Business Services,2899 MCMILLAN AVE STE 1,1/25/2001,6/25/2012,,General Service,9170,1,Service,-120.648176,35.26325713
Baja Fresh Mexican Grill,Restaurant,1085 HIGUERA ST,8/30/2002,5/5/2010,,Downtown Association,8588,1,Downtown Association,-120.6595214,35.28177453
"Baked By M, LLC",Home Occupation,2088 PRICE ST,6/9/2014,6/30/2015,Sale Of Baked Goods,General Retailer,4287,1,Retail,-120.6646271,35.27133978
Baker & Baker,Home Occupation,3960 S HIGUERA ST STE 160,1/6/2010,10/29/2012,Middle Buiness Ventures In Order To Put Service With Customer,General Service,5902,1,Service,-120.6735504,35.24709949
Baker Bookkeeping,Home Occupation,1450 SOUTHWOOD DR UNIT B,5/1/2024,5/1/2025,Online Bookkeeping Business,Professional Service,673,1,Service,-120.6365024,35.26499282
Baker Street Designs,Home Occupation,748 JOHNSON AVE APT B,6/17/2014,5/31/2015,Graphic Design & Marketing,General Service,4279,1,Service,-120.6592429,35.28738019
Balance - A Pilates Studio Inc,Recreational Services,2074 PARKER ST STE 115,8/3/2004,3/12/2019,Pilates Studio,General Service,7884,1,Service,-120.6691868,35.27115831
Balance - A Pilates Studio. Inc.,Home Occupation,2028 HENRY ST,6/26/2018,7/27/2022,"Beauty And Wellness Products Wholesale, Seasonal Markets And Online",General Retailer,2809,1,Retail,-120.6532946,35.27523056
"Balance Community, Llc",Home Occupation,373 HIGH ST,10/19/2009,6/29/2010,Specialty Retailer Focusing On Gear For Slacklining,General Retailer,5981,1,Retail,-120.6641322,35.27212587
Balasana Therapeutic Arts,Home Occupation,411 E FOOTHILL BLVD STE 2,5/4/2017,9/16/2019,"Youga Classes, Wellness Workshops, Consultation To Professionals, Groups, Agencies",General Service,3227,1,Service,-120.6778619,35.29407525
Balboa House,Rental- Residential,1530 BALBOA ST,11/20/2015,6/30/2018,Residential Rental,Residential Rental,3758,1,Rental,-120.6866838,35.26050029
Baldwin Family Trust,Rental- Residential,890 MISSION ST,4/18/2001,2/23/2016,,Residential Rental,9087,1,Rental,-120.6673754,35.2890836
Bali Designs,Retail,1255 MONTEREY ST STE A,3/24/2005,7/27/2006,,General Retailer,7651,1,Retail,-120.6577777,35.2838312
Bali Isle Imports,Apparel/Accessories,672 HIGUERA ST,3/30/1989,4/1/2011,,Downtown Association,13489,1,Downtown Association,-120.6648778,35.27872867
Bali's Yogurt,Restaurant,949 HIGUERA ST,6/18/1998,10/15/2015,,Downtown Association,10122,1,Downtown Association,-120.6613297,35.28070565
Bambini,Retail,1129 GARDEN ST STE A,10/1/2009,5/31/2011,Retail Sales Of Baby Clothes And Accessories,Downtown Association,5999,1,Downtown Association,-120.6632904,35.27908708
Bamboyant,Home Occupation,3591 SACRAMENTO DR APT 25,2/25/2016,12/31/2021,"Online Retail: Pet Bowls, Enclosures, Covers, Feeders, Accessories",General Retailer,3661,1,Retail,-120.6420819,35.25520618
Bambu Batu,Retail,1023 BROAD ST,11/15/2007,5/31/2020,"Bamboo Furniture, Gifts And Clothing",Downtown Association,6685,1,Downtown Association,-120.6648446,35.27919646
Banakas Properties,Home Occupation,1463 GALLEON WAY,9/1/2022,11/25/2023,,General Service,1281,1,Service,-120.6900262,35.25950859
Banana Displays,Advertising,3559 S HIGUERA ST,5/18/1995,6/18/2009,,General Retailer,11249,1,Retail,-120.6696176,35.25340426
"Bandalo Chiropractic, Inc.",Medical Services,1428 PHILLIPS LN STE 300,3/29/2012,4/19/2013,Chiropractic Healthcare,Professional Service,5089,1,Service,-120.6573534,35.28798882
Bang The Drum Brewery,Manufacturing,1150 LAUREL LN STE 130,9/19/2013,5/7/2025,Bang The Drum Brewery,General Manufacturer,4550,1,Other,-120.6427391,35.26251558
Bank Of Commerce Mortgage,Financial Institution,733 MARSH ST STE 200,10/11/2010,11/12/2014,Mortgage Lending - Residential Loans,Downtown Association,5624,1,Downtown Association,-120.6631533,35.27842137
Bansi Tikku,Rental- Residential,124 FONTANA AVE,7/12/1995,6/30/2020,Residential Rental Property,Residential Rental,11194,1,Rental,-120.6683941,35.26141762
Bap Jo,Restaurant,4750 ALLENE WAY,6/22/2020,9/12/2025,Food vendor,General Retailer,2082,1,Retail,-120.6333911,35.23822848
Barbara A Binder,Rental- Residential,2221 KING CT UNIT 38,9/14/2010,6/1/2011,Residential Rental Property,Residential Rental,5651,1,Rental,-120.6622385,35.26813782
Barbara A Scott,Medical Services,75 BENTON WAY,7/18/2006,4/1/2016,Writing Services,General Service,7170,1,Service,-120.6707558,35.29124183
Barbara Crane,Rental- Residential,38 S TASSAJARA DR,2/21/2006,8/1/2015,,Residential Rental,7317,1,Rental,-120.6779432,35.29269297
Barbara Evans Antiques,Secondhand Stores,363 E FOOTHILL BLVD,2/26/1998,7/27/2006,,General Retailer,10234,1,Retail,-120.6788546,35.29407686
Barbara Fisher,Rental- Residential,247 MARLENE DR,9/2/2010,7/1/2021,Residential Rental Property,Residential Rental,5663,1,Rental,-120.682243,35.30064263
Barbara Frasher,Rental- Residential,959 BLUEBELL WAY,9/13/2010,7/29/2012,Residential Rental Property,Residential Rental,5652,1,Rental,-120.6371334,35.24848049
Barbara G Clark-Lahey,Rental- Residential,414 WOODBRIDGE ST,12/19/2000,10/11/2017,Barbara Clark-Lahey,Residential Rental,9207,1,Rental,-120.6615405,35.26583592
Barbara Harootuaian,Rental- Residential,3 LOCATIONS,8/1/1995,6/30/2014,,Residential Rental,11174,1,Rental,0.0,0.0
Barbara Keely,Rental- Residential,237 ALMOND ST,9/10/2010,9/12/2016,,Residential Rental,5655,1,Rental,-120.6701722,35.28778693
Barbara Kosanke,Rental- Residential,454 ISLAY ST,3/12/1992,12/31/2014,,Residential Rental,12411,1,Rental,-120.6642663,35.27315819
Barbara M Frank Tre Etal,Rental- Residential,2725 AUGUSTA ST APT A,6/20/1995,12/31/2018,Residential Rental Property,Residential Rental,11216,1,Rental,-120.6443107,35.26880611
Barbara McMullin Property Management,Rental- Residential,2975 ROCKVIEW PL #13,3/14/2022,6/10/2022,Residential Rental,Residential Rental,1452,1,Rental,-120.6526585,35.26182067
Barbara Montague,Rental- Residential,1397 IRONBARK ST,9/10/2010,7/1/2021,Rental-Residential,Residential Rental,5655,1,Rental,-120.6288905,35.24869527
Barbara Pascoe,Rental- Residential,245 VIA LA PAZ,5/30/2012,6/13/2013,Residential Rental Property,Residential Rental,5027,1,Rental,-120.666192,35.25566018
Barbara Pfister,Rental- Residential,159 ORANGE DR,9/7/2010,6/30/2023,,Residential Rental,5658,1,Rental,-120.6603686,35.29478303
Barbara Pfister Enterprises,Rental- Residential,1426 SANTA ROSA ST,9/21/1998,7/12/2006,,Residential Rental,10027,1,Rental,-120.6569044,35.27928906
Barbara Radovich,Rental- Residential,788 BUCHON ST,9/8/2010,3/1/2017,Studio Apt,Residential Rental,5657,1,Rental,-120.6603299,35.2767333
Barbara Radovich Homestay,Misc Business Services,784 BUCHON ST,9/21/2015,10/19/2016,Homestay,General Service,3818,1,Service,-120.6603814,35.27670189
Barbara Rosenthal,Rental- Residential,55 STENNER ST APT L,4/25/1996,4/22/2024,Residential Rental Property,Residential Rental,10906,1,Rental,-120.6633995,35.29245887
Barbara Watson,Home Occupation,220 VIA SAN BLAS,1/23/2007,12/31/2009,Independent Associate For Pre-Paid Legal,General Service,6981,1,Service,-120.6672338,35.25655176
Barbara Westwick,Rental- Residential,56 S TASSAJARA DR,3/23/1992,9/23/2013,,Residential Rental,12400,1,Rental,-120.6779443,35.29229467
Barbaras Legal Assistance,Legal Services,398 PISMO ST,2/21/2003,8/28/2006,,Professional Service,8413,1,Service,-120.666456,35.27422914
Barber Doza,Barber,1033 CHORRO ST,8/12/2019,10/5/2020,"Barber - Haircuts, Shaves, Trims",Downtown Association,2397,1,Downtown Association,-120.6631395,35.28008659
Barbich/Longcrier/Hooper/King,"Accounting,Auditing/CPA/Tax Service",100 CROSS ST 103,7/1/1980,7/3/2008,,Professional Service,16683,1,Service,-120.6725089,35.24594098
Barefoot Momease Wellness Spa,Massage,793 HIGUERA ST STE 1,3/14/2011,9/23/2018,Massage Therapy,Downtown Association,5470,1,Downtown Association,-120.6629862,35.27972585
Bargain Box Liquidations,Retail,1241 JOHNSON AVE # 326,8/30/2022,5/7/2024,,General Manufacturer,1283,1,Other,-120.6556526,35.28263756
Barkers Cycle Works,Repair Services,1010 ORCUTT RD,8/24/2009,2/1/2011,"Motorcycle Service And Repair, Detailing, Customizing",General Service,6037,1,Service,-120.6427349,35.26143375
Barlet Rental,Rental- Residential,383 CALLE LUPITA,11/12/2010,4/25/2013,,Residential Rental,5592,1,Rental,-120.6623907,35.25725515
Barnard S L O Rental,Rental- Residential,237 ALBERT DR,10/29/2009,4/1/2018,House For Rent - Residential,Residential Rental,5971,1,Rental,-120.6570526,35.2951776
Barnhill & Son's Backhoe Svc,Gardening,3281 ROCKVIEW PL,7/1/1982,2/23/2017,,General Service,15953,1,Service,-120.6506855,35.25930021
Barometer Coffee Co.,Miscellaneous Business,4750 ALLENE WAY,9/1/2023,5/31/2024,,General Retailer,916,1,Retail,-120.6333911,35.23822848
"Barradan Interiors Inc, Pension & Profit Sharing",Rental- Residential,239 ROSITA ST,9/16/2010,6/30/2011,,Residential Rental,5649,1,Rental,-120.6844721,35.29531652
Barrelhouse Brewing Co.,Retail,1033 CHORRO ST,8/27/2015,12/22/2024,"Taproom, Tasting Room",Downtown Association,3843,1,Downtown Association,-120.6631395,35.28008659
Barrett Fenton,Rental- Residential,1179 LAUREL LN,1/29/2004,6/27/2007,,Residential Rental,8071,1,Rental,-120.6415348,35.26392685
Barrios Family Yard & Trash Hauling,Home Occupation,2019 BEEBEE ST,3/9/2000,6/18/2025,,General Service,9492,1,Service,-120.6679825,35.2719655
Barry & Joanna Drogy,Rental- Residential,1185 E FOOTHILL BLVD UNIT 21,3/4/2016,6/30/2017,Residential Rental,Residential Rental,3653,1,Rental,-120.6642887,35.29476518
Barry A Rudolph,Rental- Residential,420 FERRINI RD,9/14/2010,7/30/2011,,Residential Rental,5651,1,Rental,-120.6742165,35.29724318
Barry Calder,Rental- Residential,331 PISMO ST,3/30/1992,12/11/2018,,Residential Rental,12393,1,Rental,-120.6672247,35.27362227
Barry Floyd,Home Occupation,643 JEFFREY DR,4/1/1995,6/30/2017,Informations Systems Consulting,General Service,11296,1,Service,-120.6807763,35.30099252
Barry J Koeb,Rental- Residential,959 FELICIA WAY,8/18/2010,1/20/2012,One Residential Condo,Residential Rental,5678,1,Rental,-120.638258,35.25015561
Barry Kaufman Strolling Mandolinist,Home Occupation,3960 S HIGUERA ST #95,10/21/1987,6/30/2024,Strolling Mandolinist,General Service,14015,1,Service,-120.6735504,35.24709949
Bart Jones,Rental- Residential,1161/1165 BUCHON ST,3/4/1986,7/6/2011,,Residential Rental,14611,1,Rental,-120.6554098,35.27956643
"Bascom Hunter Technologies, Inc.",Manufacturing,4540 BROAD ST STE 120,1/23/2020,12/31/2020,Assembly of fans,General Manufacturer,2233,1,Other,-120.6389327,35.24210302
Baserock,Retail,872 HIGUERA ST,8/5/2016,7/1/2020,Designs & Produces Consumer Electronics Through Website,Downtown Association,3499,1,Downtown Association,-120.6620575,35.28041566
Baskets By Bernard's,Designer/Illustrator/Decorator,6325 MIRA CIELO,2/7/2007,1/1/2008,Basket Design,General Service,6966,1,Service,-120.6081986,35.20786181
Basso Property,Rental- Residential,1185 E FOOTHILL BLVD 34,9/14/2010,6/18/2020,Rental--Residential,Residential Rental,5651,1,Rental,-120.6642887,35.29476518
Basswood Consulting Inc,Consultant,865 SANTA ROSA ST,9/12/2005,12/22/2009,,General Service,7479,1,Service,-120.6612502,35.2840183
Batesco,Home Occupation,6 PERLA LN,8/29/1991,9/11/2012,,General Retailer,12607,1,Retail,-120.6782485,35.24117043
Bathscape,,746 HIGUERA ST 8,9/24/1997,1/31/2010,,Downtown Association,10389,1,Downtown Association,-120.663833,35.27935993
Battany Agricultural Consulting,Home Occupation,3165 BROAD ST B,1/23/2007,7/31/2009,Agricultureal Consulting,General Service,6981,1,Service,-120.6502279,35.26153196
Bay Equity Home Loans,Finance Company,1011 PACIFIC ST 106,8/30/2022,2/1/2024,,Downtown Association,1283,1,Downtown Association,-120.6592015,35.2797007
Bay Limousine Service,,384 1/2 ISLAY ST,12/4/2001,7/31/2006,,General Service,8857,1,Service,-120.6651588,35.27262113
Bay Machine Design,Engineer,102 CROSS ST,11/17/2004,4/30/2021,,Professional Service,7778,1,Service,-120.6724843,35.24594855
Bayly Art,Manufacturing,225 SUBURBAN RD C,12/11/2017,2/15/2020,Design Consultation And Furniture Making,General Retailer,3006,1,Retail,-120.6690411,35.24396409
Baywood Overland,Misc Business Services,3419 MIGUELITO CT # 1A,5/5/2022,4/1/2024,Interior cosmetic modifications to vans and trailers,General Service,1400,1,Service,-120.6453505,35.25891127
Baywood Tile Company Inc,Contractor- Specialty,645 TANK FARM RD D,1/24/1994,12/31/2017,,Contractor,11728,1,Service,-120.645944,35.24717222
Bd Medical Management Inc,"Accounting,Auditing/CPA/Tax Service",10 SANTA ROSA ST 201,9/9/2002,7/27/2006,,General Service,8578,1,Service,-120.6676649,35.29383987
"Bea Jeong, Etal",Rental- Residential,5 LOCATION PROPERTY RENTALS,7/1/1984,6/30/2020,Residential Rental Property,Residential Rental,15222,1,Rental,0.0,0.0
Beach Bum's,Retail,1116 MORRO ST,2/24/2009,1/11/2010,"Retail Sales, Clothing",Downtown Association,6218,1,Downtown Association,-120.6614756,35.2804493
Beach Butlerz Corp.,Home Occupation,920 VISTA DEL BRISA,1/29/2010,6/15/2017,"Beach Furniture, Special Events, Wedding Ceremonies, Rentals",General Service,5879,1,Service,-120.699916,35.2656456
Beach Construction,Contractor- General,4800 COYOTE CANYON RD,3/12/2021,9/1/2022,General Contractor,Contractor,1819,1,Service,-120.5790642,35.23704826
Beach Construction Co,Contractor- General,4800 COYOTE CANYON RD,10/1/2007,4/1/2010,,Contractor,6730,1,Service,-120.5790642,35.23704826
Beach Group Properties,Rental- Commercial,1493 HIGUERA ST,6/17/1992,12/31/2020,Rental-Commercial,Commercial Rental Property,12314,1,Rental,-120.6539731,35.28526699
Beachhouse Unfinished Furniture,Retail,111 SOUTH ST,10/14/2004,6/23/2008,,General Retailer,7812,1,Retail,-120.6692999,35.26944459
Beacon Mediation Group LLC,Home Occupation,4356 WAVERTREE ST,5/24/2022,12/31/2022,Online Mediation Service/Legal Conflict Resolution & Disputes,Professional Service,1381,1,Service,-120.6272117,35.24899299
Beacon Properties,Real Estate Agent,4115 VACHELL LN,5/10/2016,12/31/2016,Real Estate Sales & Purchases,General Service,3586,1,Service,-120.6758105,35.24300455
Bead Jeannie,Retail,1233 SAN CARLOS DR,10/21/2003,8/13/2007,,General Retailer,8171,1,Retail,-120.6475696,35.27056082
Beads Of Sharon,Repair Services,3057 S HIGUERA ST #90,6/9/2008,3/5/2019,Jewelry Repair,General Service,6478,1,Service,-120.6685444,35.25889134
Beads On A Whim,Home Occupation,1035 BLUEBELL WAY,11/23/2004,9/8/2008,Retail,General Retailer,7772,1,Retail,-120.6358949,35.24900123
Beans & Jam,Home Occupation,535 CUESTA DR,3/5/2008,9/30/2010,Clothing,General Retailer,6574,1,Retail,-120.6774521,35.29908861
Beary Cute Bears,Retail,3596 BROAD ST STE 106,5/15/1998,6/24/2013,,General Retailer,10156,1,Retail,-120.6458441,35.25403935
"Beauty Boutique, LLC",Beauty Salon,4115 VACHELL LN A,12/16/2015,8/5/2016,Hair Salon; Retail Boutique,General Retailer,3732,1,Retail,-120.6758105,35.24300455
"Beauty Box Slo, Inc. Dba """"""Slo Brow Bar""""""",Beauty Salon,781 HIGUERA ST,5/23/2019,12/29/2019,Skin Care & Hair Removal Studio,Downtown Association,2478,1,Downtown Association,-120.6631969,35.27959942
Beauty Box Threading & Wax Salon,Beauty Salon,17 CHORRO ST STE B,7/29/2016,9/30/2019,Cosmotology - Hair & Skin,General Service,3506,1,Service,-120.6702723,35.29363509
Beb De Leon,Home Occupation,3350 BULLOCK LN #24,11/19/2018,5/1/2020,"Translation, Editing, Proofing Of Documents; Spanish Tutoring",General Service,2663,1,Service,-120.6428328,35.25973206
"Beck Ag Operations, Inc",Home Occupation,1941 WILDING LN,3/9/2011,6/30/2013,Record Keeping For Wine Sales,General Service,5475,1,Service,-120.6477408,35.27894521
Beckers Draperies,Retail,169 GRANADA DR STE 1,7/28/2006,7/31/2025,Draperies & Window Coverings,General Retailer,7160,1,Retail,-120.6692621,35.25106797
Beckett Emerald Sky,Recreation-Instruction/Training,3591 SACRAMENTO DR 125,6/29/2018,10/24/2019,Resistance Exercise Training,General Service,2806,1,Service,-120.6420819,35.25520618
Beckie Higgins Hair Design,Beauty Salon,3212 BROAD ST 130,9/12/1986,10/12/2009,,General Service,14419,1,Service,-120.6495963,35.26090645
Beckstrand Law Offices,Attorney at Law,895 AEROVISTA PL 102,11/8/2017,12/30/2017,Law Firm,Professional Service,3039,1,Service,-120.639998,35.242473
Bed Bath & Beyond #331,Retail,317 MADONNA RD,8/22/2000,4/23/2023,,General Retailer,9326,1,Retail,-120.677152,35.26334087
Bedroom Solutions,Retail,2550 BROAD ST,7/2/2007,2/3/2012,"Mattress Sets, Pillows & Bedroom Sets",General Retailer,6821,1,Retail,-120.6535807,35.26612748
Beerbongs For World Peace,Home Occupation,441 LUNETA DR,8/16/2010,9/11/2012,,General Retailer,5680,1,Retail,-120.6773604,35.29125086
Behavior Consultant Services,Consultant,1264 HIGUERA ST STE 108-A,7/19/2012,3/1/2013,In-Home Behavior Services To Families Of Children With Autism,General Service,4977,1,Service,-120.6570688,35.28336245
Behavior Consultant Services Inc,Medical Services,1658 WILSON ST,5/19/2004,7/27/2006,,Professional Service,7960,1,Service,-120.654979,35.29100022
Beholders Eye Photography Company,Misc Business Services,1720 TONINI DR 97,6/30/2005,1/29/2007,,General Service,7553,1,Service,-120.6915703,35.25507814
Bel Frites,Restaurant,1127 GARDEN ST,10/30/2006,9/26/2012,Prepared Food To Go,Downtown Association,7066,1,Downtown Association,-120.6633734,35.27917967
"Beliza Perdomo, Lmft",Medical Services,11555 LOS OSOS VALLEY RD 205,8/28/2017,6/1/2019,Psychotherapy Services,Professional Service,3111,1,Service,-120.6912477,35.25704092
Bella B,Retail,1023 MORRO ST,12/5/2006,6/30/2020,Bella B LLC,Downtown Association,7030,1,Downtown Association,-120.661997,35.28085142
Bella Brows,Personal Services,641 HIGUERA ST STE 102,1/6/2011,7/18/2011,Unwanted Hair Removal,Downtown Association,5537,1,Downtown Association,-120.6651551,35.27841555
Bella Donna's,Home Occupation,680 UPHAM ST,12/12/2016,6/30/2017,Online Sales & Traveling To Events,General Retailer,3370,1,Retail,-120.6591792,35.27264853
Bella Pasto Company,Caterer,3940 BROAD ST STE 2,5/15/2007,12/30/2008,Meal Prep,General Service,6869,1,Service,-120.6434446,35.24918791
Bella Pizza Pasta,Restaurant,3212 BROAD ST STE 120,2/5/2015,9/29/2016,Italian Restaurant,General Retailer,4046,1,Retail,-120.6495963,35.26090645
Bella Pops; SOS Pops; A/JIH Industries,Retail,709 FIERO LN STE 35,7/23/2014,6/1/2015,Gourmet Popsicles,General Retailer,4243,1,Retail,-120.6433121,35.24398767
Bella Viaggio Cruises And Tours,,598 CUESTA DR,11/9/2001,11/6/2006,,General Service,8882,1,Service,-120.6779501,35.29964412
Bella Vista Transitional Care Center,Medical Services,3033 AUGUSTA ST,7/1/1982,11/1/2019,"Skilled Nursing, Transitional Care",General Service,15953,1,Service,-120.6404742,35.26706542
Beloved Jewelry Beloved Publishing,Home Occupation,3632 LAWNWOOD CT,5/13/2013,6/12/2013,Write/Sell Books; Sell Jewelry & Candles To Stores/Craft Fairs,General Retailer,4679,1,Retail,-120.6370093,35.26209662
Belt It Out Leather,Home Occupation,1640 HIGUERA ST,1/18/2024,5/1/2025,Production of hand tooled belts,General Retailer,777,1,Retail,-120.6526852,35.2863273
Beltone Hearing Aid Center,Retail,1240 MARSH ST,7/3/1996,8/31/2017,Hearing Aid Sales & Service,General Retailer,10837,1,Retail,-120.6566677,35.28252073
Ben & Jo Photo,Home Occupation,415 DANA ST UNIT 7,8/7/2015,12/31/2015,Event/Family/Nature/Real Estate Photo; Print & Restoration Services,Professional Service,3863,1,Service,-120.6693998,35.2771419
Ben Arrona,Home Occupation,410 CORRIDA DR,1/2/2019,9/30/2019,Online Computer Sales,General Retailer,2619,1,Retail,-120.6616755,35.2670163
Ben Curti,Rental- Residential,284 HERMOSA WAY,9/16/2010,12/31/2013,,Residential Rental,5649,1,Rental,-120.6801264,35.29096844
Ben L Maddalena,Architect,795 BUCKLEY RD,7/1/1972,1/7/2015,Architect,Professional Service,19605,1,Service,-120.6404932,35.23569385
Ben Madonna,Rental- Residential,312 LUNETA DR,1/1/2022,6/30/2025,Rental Property,Residential Rental,1524,1,Rental,-120.6798288,35.29136546
Ben Maese Cpa,"Accounting,Auditing/CPA/Tax Service",1065 HIGUERA ST 300,7/3/2002,6/12/2007,,Downtown Association,8646,1,Downtown Association,-120.6597681,35.28162797
Benjamin B White,Rental- Residential,1821 MORRO ST,3/11/1992,8/18/2009,,Residential Rental,12412,1,Rental,-120.6568055,35.27505819
Benjamin W & Susan E Holty,Rental- Residential,865 BUCHON ST,12/28/2000,11/14/2014,,Residential Rental,9198,1,Rental,-120.6593084,35.27720798
Benner Electric,Home Occupation,1875 FIXLINI ST,2/21/2007,2/19/2009,Electrical Contractor,Contractor,6952,1,Service,-120.6490251,35.27892195
Bennet Consulting,Home Occupation,1316 ALDER ST,11/15/2012,10/14/2013,Professional Consulting Firm,Professional Service,4858,1,Service,-120.6302476,35.24744408
Benny's Kitchen,Restaurant,977 E FOOTHILL BLVD #109,2/11/2020,1/1/2022,Pizza Kitchen/shared outside food vendor,General Retailer,2214,1,Retail,-120.6684234,35.29398332
"Benson Development, Inc.",Home Occupation,1365 CAZADERO ST,11/13/2008,3/14/2016,Construction Remodel,Contractor,6321,1,Service,-120.6496678,35.28556955
Benson Web Design Inc,"Computers, Sales & Service",351 CORRIDA DR,11/8/2005,8/23/2006,,General Service,7422,1,Service,-120.6636256,35.26689602
Bentley Fabrication,Manufacturing,505 PRINCETON PL,6/14/2006,7/27/2006,,General Manufacturer,7204,1,Other,-120.6793626,35.29833488
Benton Way Studio,Home Occupation,69 BENTON WAY,10/27/2008,9/24/2025,Design & Creation Of Art-Commission Work,General Retailer,6338,1,Retail,-120.6707556,35.29133014
Bergantz Development Corporation,Contractor- General,2225 CORBETT CANYON RD,11/7/2002,12/31/2010,,Contractor,8519,1,Service,-120.5871082,35.19263189
"Bergh Enterprises, LLC",Alcoholic Beverage,872 HIGUERA ST,5/3/2016,5/1/2018,Alcohol Wholesale - Office Space Only - No Sale Of Alcohol On Premise,Downtown Association,3593,1,Downtown Association,-120.6620575,35.28041566
Bergh Horticulture Company,Home Occupation,1507 LA CITA CT,6/12/2015,12/11/2015,"Landscaping, Lawn Care & Horticultural Consultation",General Service,3919,1,Service,-120.6417551,35.26954527
Bernard A Troy,Rental- Residential,1305 WOODSIDE DR,3/10/1992,6/12/2015,,Residential Rental,12413,1,Rental,-120.6401754,35.26395395
Bernard K & Joan F Suttle,Rental- Residential,1076 WILLOW CIR,9/7/2010,8/1/2015,Residential Rental Property,Residential Rental,5658,1,Rental,-120.6412359,35.25899003
Bernards Bros Inc.,Contractor- General,847 MONTEREY ST,7/13/2015,6/30/2023,Building Management Services,Downtown Association,3888,1,Downtown Association,-120.6631018,35.28065584
Bernick's Hair Design,Beauty Salon,825 EL CAPITAN WAY STE 2,7/15/2008,9/19/2014,,General Service,6442,1,Service,-120.6416999,35.24661878
Bernita L Myers,Rental- Residential,1965 HOPE ST,1/29/2001,7/12/2006,,Residential Rental,9166,1,Rental,-120.6510683,35.29320714
Berserker Cycle Design LLC,Manufacturing,4149 SANTA FE RD STE 7,4/2/2009,4/1/2011,"Manufacturer Of Adult Recumbent Tricycles, Wholesale And Retail",General Manufacturer,6181,1,Other,-120.6490577,35.24328368
Best Deal Window Washers,Home Occupation,682 BROAD ST,1/23/2008,3/9/2010,Window Washing Services,General Service,6616,1,Service,-120.666744,35.2825274
Best Fire Design,Fire Equipment/Protection,1413 MONTEREY ST,4/15/2015,6/30/2017,Design/Drafting Of Fire Protection Systems,Professional Service,3977,1,Service,-120.6554631,35.28539969
Best Kept Secret,Entertainment,3283 BROAD ST STE B,6/3/2011,6/1/2012,,General Service,5389,1,Service,-120.6494233,35.26045395
Best Water & Air,Misc Business Services,2494 VICTORIA AVE,3/13/2009,3/23/2012,"Service Work On Heating, Airconditioning, And Plumbing",General Service,6201,1,Service,-120.6526664,35.26709868
Bethany Green,Beauty Salon,3071 S HIGUERA ST STE 120,7/21/2010,10/30/2012,"Salon, Hair Services & Hair Products",General Service,5706,1,Service,-120.6685056,35.25872169
Betsy Schwartz's Massage Therapy,Personal Services,1150 GROVE ST STE A,9/6/1990,9/1/2021,Bodywork,Massage Therapist,12964,1,Service,-120.6526122,35.28596475
Bettencourt Family Llc,Rental- Commercial,6 HIGUERA ST,5/8/1992,11/26/2013,,Commercial Rental Property,12354,1,Rental,-120.6705302,35.26519164
"Better Brake Parts, Inc.",Manufacturing,3195 MCMILLAN AVE STE A,12/1/2012,6/4/2019,Distributor Of Brake Parts,General Manufacturer,4842,1,Other,-120.648176,35.26142916
"Better Builders, Inc.",Contractor- General,295 LOS CERROS DR,7/22/2003,4/24/2011,,Contractor,8262,1,Service,-120.6873608,35.29605641
Better Business Financial Services,"Accounting,Auditing/CPA/Tax Service",923 WEST ST,9/25/1988,12/31/2015,Accounting & Tax,Professional Service,13675,1,Service,-120.6678903,35.28993407
Better Plumbing-Retail Sales,Retail,85 GUERRA DR,7/1/1982,7/12/2006,,General Retailer,15953,1,Retail,-120.7065246,35.28477367
