,DBA,Business type,Bus address,"Bus City, State",Start date,Close date,Account #,Owner Name 1,License description,Rate type (STD),type,long,lat,closure_time,censor,zone,parcel
825,Angela Carpenter,Rental- Residential,2539 BOULEVARD DEL CAMPO,"SAN LUIS OBISPO, CA 93401-5313",2022-03-14,,118171,"Carpenter, Angela",Rental Property,Residential Rental,Rental,-120.649294874072,35.267700171943,1453,0,R-1,004-853-018
826,Angela Kristine Vocal Coaching,Home Occupation,1244 VISTA DEL LAGO,"SAN LUIS OBISPO, CA 93405-4837",2023-05-16,2025-04-24,119719,"Nelson, Angela K",,General Service,Service,-120.693674749606,35.262675388015,1025,1,R-1,004-261-047
827,Angela McNulty,Rental- Residential,1645 HILLCREST PL,"SAN LUIS OBISPO, CA 93401-2515",2010-10-07,,109273,"McNulty, Angela",Residential Rental Property,Residential Rental,Rental,-120.655203363264,35.290058337278,5629,0,R-1,001-063-005
828,Angela McNulty Attorney At Law,Legal Services,991 OSOS ST STE A,"SAN LUIS OBISPO, CA 93401-3233",1998-06-01,2021-05-18,10804,"McNulty, Angela M",Attorney At Law,Downtown Association,Downtown Association,-120.661477880706,35.281855249417,10140,1,C-D,002-322-027
829,"Angela R Wurtzel, Ma Mft",Medical Services,1305 MARSH ST,"SAN LUIS OBISPO, CA 93401-3315",2006-09-12,2012-10-12,105163,"Wurtzel, Angela R",Psychotherapy Services,Professional Service,Service,-120.655747186501,35.282991824028,7115,1,O,002-342-022
830,Angela Rehkugler,Rental- Residential,4044 POINSETTIA ST,"SAN LUIS OBISPO, CA 93401-7628",2022-04-07,,118507,"Rehkugler, Angelica",Rental Property,Residential Rental,Rental,-120.64001917735,35.24869783547,1429,0,R-2,053-086-029
831,Angie King,Home Occupation,875 UPHAM ST,"SAN LUIS OBISPO, CA 93401-4439",1990-08-15,2021-01-01,2482,Angie King,legal services,General Service,Service,-120.65641539594,35.274177564463,12987,1,C-S,003-647-028
832,Angie Logan,Beauty Salon,1050 BROAD ST,"SAN LUIS OBISPO, CA 93401-3505",1999-07-02,2023-01-01,11529,"Logan, Angie",Cosmetologist,Downtown Association,Downtown Association,-120.664635768391,35.279158782328,9744,1,C-D,002-423-012
833,Angie's Cleaning,Misc Business Services,1234 ATASCADERO ST,"SAN LUIS OBISPO, CA 93405-6518",2018-03-16,2024-05-01,114859,"Perez-Cardenas, Angelica Maria",Cleaning Service For Homes And Offices,General Service,Service,-120.68817240554,35.258703998153,2912,1,R-1,004-532-004
834,Angion,Medical Services,1495 PALM ST,"SAN LUIS OBISPO, CA 93401-2937",2004-01-23,2023-12-31,15019,"Mailloux, Rebecca",Outpatient Rehabilitation,General Service,Service,-120.655245705736,35.286658701502,8078,1,O,001-137-001
835,Angle,Home Occupation,417 HIGH ST,"SAN LUIS OBISPO, CA 93401-5126",2015-11-04,2019-02-26,113177,"Pickens, Mandi",Permit Entitlement Services For Land Use,Professional Service,Service,-120.663116998466,35.272125865562,3775,1,R-2,003-735-003
836,Angle Land Use,Consultant,1177 MARSH ST STE 200,"SAN LUIS OBISPO, CA 93401-2318",2021-09-01,,117526,"Pickens, Mandi",Land Use Consulting/Project Management Services,Professional Service,Service,-120.657476384152,35.2818532293,1647,0,O,002-445-009
837,Angry Woodpecker Antiques,Antiques,662 UPHAM ST STE A,"SAN LUIS OBISPO, CA 93401-4390",2010-05-26,2012-10-11,107765,"Specht, Jeff S",Buy & Sell Antiques,General Retailer,Retail,-120.659322945488,35.272561849827,5763,1,C-N,003-641-013
838,Anholm Farms LLC,Homestay,281 BROAD ST,"SAN LUIS OBISPO, CA 93405-2303",2022-01-06,,117804,"Couch, Kristopher","Homestay Rental, Orchard & Market Garden, Online Mercantile",General Service,Service,-120.670645947397,35.286926198638,1520,0,R-1,001-091-015
839,"Animal Care Clinic SLO, Inc",Veterinarian/Animal Care,162 CROSS ST,"SAN LUIS OBISPO, CA 93401-7592",2023-01-01,,1644,"Markoff, Bonnie F",Small Animal Veterinary Hospital,Professional Service,Service,-120.671676023307,35.245947343495,1160,0,C-S,053-257-008
840,Animal Hospital Of San Luis Obispo,Veterinarian/Animal Care,642 CALIFORNIA BLVD,"SAN LUIS OBISPO, CA 93401-2508",1975-07-01,,45288,"Lewis, Cody",Veterinary Clinic,Professional Service,Service,-120.656889544738,35.288751269612,18511,0,O,001-056-044
841,Anime Express,Retail,1326 MADONNA RD,"SAN LUIS OBISPO, CA 93405-6503",1999-11-23,2008-07-09,11790,"Newton, Jason",,General Retailer,Retail,-120.689883582111,35.257029763518,9600,1,C-C,004-611-078
842,Anita B Henry,Professional,11549 LOS OSOS VALLEY RD STE 109,"SAN LUIS OBISPO, CA 93405-6477",2011-08-18,2014-11-13,110286,"Broughton Henry, Anita",Certified Hypnotherapist,Professional Service,Service,-120.691294089766,35.257099396917,5314,1,O,053-102-030
843,Anita Bohannon,Beauty Salon,1601 OSOS ST,"SAN LUIS OBISPO, CA 93401-4039",2013-08-05,2016-06-30,111613,"Bohannon, Anita",Hairdresser,General Service,Service,-120.657336756713,35.277206055405,4596,1,R-3,003-551-003
844,Anita Moss,Rental- Residential,3432 BULLOCK LN,"SAN LUIS OBISPO, CA 93401-7116",2010-09-09,2017-06-30,108481,"Moss, Anita",,Residential Rental,Rental,-120.642280404413,35.259049435818,5657,1,R-2,053-071-022
845,Anja Christie-Johnson,Professional,1075 COURT ST STE 207,"SAN LUIS OBISPO, CA 93401-3234",2010-12-20,2013-04-30,109810,"Christie-Johnson, Anja",Psychotherapy Services,Downtown Association,Downtown Association,-120.661468931048,35.281076207266,5555,1,C-D,002-431-010
846,Ann Bell Wilson,Legal Services,960 TORO ST,"SAN LUIS OBISPO, CA 93401-3120",1988-03-04,2023-01-01,749,Ann Bell Wilson,,Professional Service,Service,-120.659047661673,35.284057534075,13881,1,O,001-222-008
847,Ann C Shackelton Ms Mft,Medical Services,894 MEINECKE AVE,"SAN LUIS OBISPO, CA 93405-1722",2000-06-20,2006-07-27,12101,"Shackelton, Ann",,Professional Service,Service,-120.667612981803,35.292453203164,9390,1,O,052-174-043
848,Ann E Amato,Rental- Residential,2220 EXPOSITION DR #58,"SAN LUIS OBISPO, CA 93401-5550",2003-04-02,2020-06-24,13676,"Amato, Ann (Betsy)",,Residential Rental,Rental,-120.664537935484,35.268831959009,8374,1,R-4,004-820-061
849,Ann E Miller,Rental- Residential,3370 BROAD ST,"SAN LUIS OBISPO, CA 93401-6722",2001-01-26,,70612,"Miller, Ann E",Residential Rental Property,Residential Rental,Rental,-120.648061642593,35.258653924891,9170,0,C-S,053-221-018
850,Ann Evers Rental House,Rental- Residential,362 E FOOTHILL BLVD,"SAN LUIS OBISPO, CA 93405-1542",2010-09-02,,108199,"Evers, Ann",Rental House,Residential Rental,Rental,-120.678873963577,35.294191455804,5664,0,R-1,052-022-027
851,Ann F Reilly-wells Fargo Tre Etal,Rental- Residential,3 LOCATIONS-RENTAL PROPERTY,"SAN LUIS OBISPO, CA 93401",1992-03-17,2008-06-23,4303,"Reilly, Ann F",,Residential Rental,Rental,,,12407,1,,
852,Ann Hall,Rental- Residential,2019 SIERRA WAY,"SAN LUIS OBISPO, CA 93401-4523",2021-03-15,,117237,"HALL, Ann L",Residential Rental,Residential Rental,Rental,-120.649798882421,35.276372626349,1817,0,R-1,003-687-053
853,Ann J Conzelman,Rental- Residential,672 E FOOTHILL BLVD,"SAN LUIS OBISPO, CA 93405-1616",2010-08-27,,108050,"Conzelman, Ann J",rental - residential,Residential Rental,Rental,-120.674294132952,35.294158131622,5670,0,R-4,052-032-042
854,Ann L Nelson Collier,Rental- Residential,651 BRIZZOLARA ST APT 2,"SAN LUIS OBISPO, CA 93401-2200",2001-01-29,,70643,"Collier, Ann L Nelson",rental property,Residential Rental,Rental,-120.668472323253,35.281110013186,9167,0,R-3,002-304-032
855,Ann M Palmer C P A,"Accounting,Auditing/CPA/Tax Service",1345 BROAD ST,"SAN LUIS OBISPO, CA 93401-3909",1992-09-30,,5909,"Palmer, Ann M",,Professional Service,Service,-120.662867055838,35.276996045165,12210,0,O,003-522-010
856,Ann M. Porter,Rental- Residential,674 LEFF ST,"SAN LUIS OBISPO, CA 93401-4352",2024-08-07,,121467,"Porter, Ann M",,Residential Rental,Rental,-120.660698065162,35.274119148868,576,0,R-2,003-631-016
857,Ann Marie Meier Lmt,Massage,895 PISMO ST,"SAN LUIS OBISPO, CA 93401-4017",2015-03-16,2020-03-16,112644,"Meier, Ann Marie",Therapeutic Massage,Massage Therapist,Service,-120.659675434596,35.278178805491,4008,1,R-4,003-537-006
858,"Ann Marie Tommey, Md",Health Spa/Fitness,1141 PACIFIC ST STE G,"SAN LUIS OBISPO, CA 93401-3304",2009-05-07,2020-08-13,106966,"Tommey, Md, Ann Marie",Consultations On General Wellness And Natural Hormone,Professional Service,Service,-120.657592688849,35.280673081094,6147,1,O,002-446-028
859,Ann Marie Wood,Home Occupation,1352 MADRONE LN,"SAN LUIS OBISPO, CA 93401-7844",2007-09-05,2010-07-01,105866,"Wood, Ann Marie",Beijo Brand Purses And Accessories,General Retailer,Retail,-120.627227678117,35.244444327534,6757,1,R-1,053-305-008
860,Ann N Peterson,Rental- Residential,3420 EDGEWOOD DR,"SAN LUIS OBISPO, CA 93401-6020",2001-02-14,,70741,"Peterson, Ann N",Rental-Residential,Residential Rental,Rental,-120.628288133223,35.264501930056,9151,0,R-1,004-361-021
861,"Ann Neumann M A, J D",Home Occupation,130 S TASSAJARA DR,"SAN LUIS OBISPO, CA 93405-1534",2012-07-11,,110957,"Neumann, Ann","Editing, Writing, Training For Business, Tech, Legal, Gov'T",Professional Service,Service,-120.677947114339,35.290980657151,4986,0,R-1,052-534-003
862,Ann P Villa Trustee,Rental- Residential,470 GRAND AVE,"SAN LUIS OBISPO, CA 93405-2014",1992-03-19,2007-06-12,4471,"Villa, Ann P",,Residential Rental,Rental,-120.653081437272,35.292612040889,12405,1,R-1,052-231-015
863,Ann R Ezzo,Rental- Residential,85 STENNER ST APT B,"SAN LUIS OBISPO, CA 93405-1879",2010-10-21,2021-06-04,109470,"Ezzo, Ann R",Residential Rental Property,Residential Rental,Rental,-120.663399508894,35.292458870036,5615,1,R-3,052-192-009
864,Ann Stillingfleet,Rental- Residential,1297 MANZANITA WAY,"SAN LUIS OBISPO, CA 93401-7838",2010-10-25,2023-07-26,109506,"Stillingfleet, Ann",Residential Rental Property,Residential Rental,Rental,-120.630940311872,35.249177056035,5611,1,R-2,053-300-013
865,Ann T Tham,Rental- Residential,3017 GARIBALDI AVE,"SAN LUIS OBISPO, CA 93401-5733",2001-03-23,,71105,"Tham, Ann T",Home Rental,Residential Rental,Rental,-120.649338497135,35.26241506824,9114,0,R-3,053-196-001
866,Ann Williams,Rental- Residential,269 DONNA WAY,"SAN LUIS OBISPO, CA 93405-1241",2010-09-27,,109154,"Williams, Ann",Rental House,Residential Rental,Rental,-120.681088549896,35.296650864307,5639,0,R-1,052-382-017
867,"Ann's Contemporary Clothes, Inc",Apparel/Accessories,1021 MORRO ST,"SAN LUIS OBISPO, CA 93401-3272",1982-07-01,2019-09-29,3377,"Reeves, Anne",,Downtown Association,Downtown Association,-120.662077286075,35.280944164303,15954,1,C-D,002-425-010
868,Ann's House,Homestay,381 BROAD ST,"SAN LUIS OBISPO, CA 93405-2305",2019-04-03,,115659,"Murphy, Steve",Airbnb Homestay,General Service,Service,-120.669526124311,35.285573853583,2529,0,R-1,001-182-007
869,Anna Frady,Personal Services,2033 SANTA BARBARA AVE,"SAN LUIS OBISPO, CA 93401-5200",2018-05-07,,114952,"Frady, Anna",Hairstylist,General Service,Service,-120.656273177109,35.2718745575,2860,0,C-S,003-748-013
870,Anna M Boyle Family Trust,Rental- Residential,1311 HIGUERA ST,"SAN LUIS OBISPO, CA 93401-3121",1992-03-16,2007-07-19,4186,"Crosby, Martha",,Residential Rental,Rental,-120.656316481613,35.283680023343,12408,1,O,002-334-020
871,Anna M. King,Rental- Residential,1625 WILSON ST,"SAN LUIS OBISPO, CA 93401-2533",2022-02-16,,117962,"King, Anna M",Rental Property,Residential Rental,Rental,-120.655345823995,35.290888281372,1479,0,R-1,001-062-013
872,"Anna Morris, Holistic Health Practitioner",Personal Services,697 HIGUERA ST STE I,"SAN LUIS OBISPO, CA 93401-3544",2014-05-15,2016-03-17,112049,"Morris, Anna",Holistic Health Practitioner & Massage Therapy,Downtown Association,Downtown Association,-120.664522425027,35.278803102667,4313,1,C-D,002-422-008
873,Anna Negranti,Rental- Residential,145 E FOOTHILL BLVD,"SAN LUIS OBISPO, CA 93405-1537",2011-12-07,,110513,"Negranti, Anna",Residential Rental Property,Residential Rental,Rental,-120.684934135007,35.294085864795,5203,0,R-1,052-351-011
874,Anna Silveira,Beauty Salon,2103 BROAD ST,"SAN LUIS OBISPO, CA 93401-5204",2011-09-02,,110322,"Silveira, Anna",Hair Stylist,General Service,Service,-120.657639025252,35.271083282672,5299,0,C-N,003-746-029
875,Anna Wang,Massage,1107 JOHNSON AVE,"SAN LUIS OBISPO, CA 93401-3303",2022-10-13,,119233,"Schwarz, Shoulan Wang",Massage Therapist,Massage Therapist,Service,-120.656514521762,35.283489812105,1240,0,O,002-332-016
876,Anna's Ciao Bella Salon,Beauty Salon,3596 BROAD ST STE 100,"SAN LUIS OBISPO, CA 93401-7237",2015-04-01,2016-06-30,112686,"Robinson, Hilary",Hair Salon; Hair & Skin Care Products,General Service,Service,-120.645844077805,35.254039349607,3992,1,C-S,053-234-001
877,Anna's Ciao Bella Salon,Beauty Salon,3596 BROAD ST STE 100,"SAN LUIS OBISPO, CA 93401-7237",2016-08-29,2025-09-08,113848,"Varin, Corie",Hair Stylist,General Service,Service,-120.645844077805,35.254039349607,3476,1,C-S,053-234-001
878,Anna's Cleaning Service,Personal Services,1386 BALBOA ST,"SAN LUIS OBISPO, CA 93405-4904",2003-02-21,,13590,"Ponce, Anadelia",Cleaning Service,General Service,Service,-120.688198070819,35.261989900897,8414,0,R-1,004-381-037
879,Anna's Electrolysis,Personal Services,3596 BROAD ST STE 100,"SAN LUIS OBISPO, CA 93401-7237",1992-03-01,2015-07-31,5208,"Squyres, Anna",,General Service,Service,-120.645844077805,35.254039349607,12423,1,C-S,053-234-001
880,Anna's Spices,Manufacturing,1032 CHORRO ST,"SAN LUIS OBISPO, CA 93401-3223",2012-05-29,2013-10-21,110847,"Frumes, Anna",Mixed Spices And Salts,Downtown Association,Downtown Association,-120.663102328104,35.280242454797,5029,1,C-D,002-425-001
881,Annabella Phillips,Rental- Residential,271 BRANCH ST,"SAN LUIS OBISPO, CA 93401-5008",2000-12-15,2023-05-01,70002,"Acosta, Michele",,Residential Rental,Rental,-120.666525203278,35.27014857313,9212,1,R-2,003-724-023
882,AnnaLillian Photography,Home Occupation,608 HOWARD ST APT E,"SAN LUIS OBISPO, CA 93401-2400",2021-09-20,,117552,"Mercado, AnnaLillian",Photography services & Photo editing,General Service,Service,-120.660322536017,35.288524702719,1628,0,R-2,001-123-004
883,Annalisa Parker,Rental- Residential,570 PEACH ST # 26,"SAN LUIS OBISPO, CA 93401-2220",2022-08-01,,119131,"Parker, Annalisa",Long term rental property,Residential Rental,Rental,-120.667065,35.281132,1313,0,R-3,002-305-030
884,Annalisa Parker,Rental- Residential,570 PEACH ST 26,"SAN LUIS OBISPO, CA 93401-2220",2025-05-01,2025-10-15,121571,,Residential Rental Property,General Retailer,Retail,-120.667065,35.281132,309,1,R-3,002-305-030
885,Anne Appel Properties,Rental- Residential,2 LOCATIONS,"SAN LUIS OBISPO, CA 93401-2318",2010-09-03,,108266,"Appel, Anne",,Residential Rental,Rental,,,5663,0,,
886,"Anne Appel, Mft",Medical Services,1229 HIGUERA ST,"SAN LUIS OBISPO, CA 93401-3169",1996-07-01,,9117,"Appel, Anne",Counselor/Psychotherapist,Professional Service,Service,-120.657444052113,35.282999938731,10840,0,O,002-332-002
887,Anne Cruikshanks,Homestay,1792 CONEJO AVE,"SAN LUIS OBISPO, CA 93401-3011",2015-06-04,2016-02-02,112812,"Cruikshanks, A",Homestay,General Service,Service,-120.648194972635,35.286478291635,3928,1,R-1,001-242-008
888,Anne Cruikshanks,Homestay,1792 CONEJO AVE,"SAN LUIS OBISPO, CA 93401-3011",2014-03-14,,111942,"Cruikshanks, Anne",,Homestay Temporary TOT,Hotel,-120.648194972635,35.286478291635,4375,0,R-1,001-242-008
889,Anne F Eselun,Rental- Residential,256 VIA SAN BLAS,"SAN LUIS OBISPO, CA 93401-6972",2022-04-21,,118661,"Eselun, Anne F",Rental Property,Residential Rental,Rental,-120.666181727994,35.256404137397,1415,0,R-2,053-185-001
890,Anne Frankel,Rental- Commercial,682 HIGUERA ST,"SAN LUIS OBISPO, CA 93401-3511",1997-08-27,,10130,Anne Frankel,Commercial Rental Property,Downtown Association,Downtown Association,-120.664764845807,35.278797871814,10418,0,C-D,002-421-014
891,Anne Gaebe,Rental- Residential,5 LOCATIONS-RENTAL PROPERTY,"SAN LUIS OBISPO, CA 93405",1992-03-16,,4257,"Gaebe, Anne",,Residential Rental,Rental,,,12408,0,,
892,"Anne Garrett, Certified Performance Coach",Home Occupation,235 CATALINA DR,"SAN LUIS OBISPO, CA 93405-1501",2008-05-30,2010-03-12,106316,"Garrett, Anne C",Life And Performance Coaching,General Service,Service,-120.682307613132,35.291322864899,6489,1,R-1,052-473-005
893,Anne Goshen,Rental- Residential,1245 MANZANITA WAY,"SAN LUIS OBISPO, CA 93401-7811",2010-11-09,2014-07-01,109694,"Goshen, Anne",Residential Rental Property,Residential Rental,Rental,-120.632255415419,35.249499894595,5596,1,R-2,053-300-001
894,Anne Keller,Rental- Residential,1 RENTAL LOCATION,"SAN LUIS OBISPO, CA 93401-2661",2022-04-08,,118522,"Keller, Anne",Rental Properties,Residential Rental,Rental,,,1428,0,,
895,Anne M Mack,Rental- Residential,1265 MILL ST 1-3,"SAN LUIS OBISPO, CA 93401-2814",2001-01-11,2007-08-24,70543,"Mack, Anne M",,Residential Rental,Rental,-120.659121585134,35.28558529055,9185,1,R-2,001-221-008
896,Anne M Russell,Legal Services,1043 PACIFIC ST,"SAN LUIS OBISPO, CA 93401-3623",1991-03-08,2009-07-15,2902,"Russell, Anne M",,Downtown Association,Downtown Association,-120.658791479531,35.279948619702,12782,1,O,002-444-004
897,Anne M. Sawtelle,Rental- Residential,1175 LAUREL LN,"SAN LUIS OBISPO, CA 93401-5822",2022-03-18,,118247,"Sawtelle, Anne Marie",Rental,Residential Rental,Rental,-120.641575608036,35.263871872164,1449,0,R-3,004-563-065
898,Anne O'Brien,Homestay,667 LAWRENCE DR,"SAN LUIS OBISPO, CA 93401-5613",2020-02-03,,116432,"O'Brien, Anne",AirBnB Homestay,General Service,Service,-120.652924629005,35.264016865714,2223,0,R-1,004-942-033
899,Anne P Silveira,Rental- Residential,1802 BROAD + 1808 BROAD,"SAN LUIS OBISPO, CA 93401",2001-02-22,2006-07-13,70971,"Silveira, Anne P",,Residential Rental,Rental,-120.65913,35.273619,9143,1,R-2,003-643-015
900,"Anne Ramberg Law, P.C.",Legal Services,287 CHORRO ST,"SAN LUIS OBISPO, CA 93405-2315",2024-05-20,,120507,"Anne Ramberg Law, P.C.",,Professional Service,Service,-120.668751602049,35.287181955978,655,0,R-1,001-104-013
901,Anne Trebino,Rental- Residential,2220 EXPOSITION DR #70,"SAN LUIS OBISPO, CA 93401-5550",2010-08-30,,108061,"Trebino, Anne",rental,Residential Rental,Rental,-120.664537935484,35.268831959009,5667,0,R-4,004-820-061
902,Anne Tse Acupuncture Professional Corporation,Business/ Services/ Professions,1177 PALM ST,"SAN LUIS OBISPO, CA 93401-3182",2018-01-16,,114760,"Anne Tse, Suk Yee",Licensed Acupuncturist,General Service,Service,-120.659638754962,35.284061447817,2971,0,O,002-326-008
903,Annette Martin,Beauty Salon,1998 SANTA BARBARA AVE STE 110,"SAN LUIS OBISPO, CA 93401-4427",1999-06-22,,11513,"Martin, Annette",Hair Stylist,Downtown Association,Downtown Association,-120.656093582472,35.272235046,9754,0,C-S,003-651-008
904,Annette S. Meszaros RDHAP,Home Occupation,1255 ORCUTT RD #A15,"SAN LUIS OBISPO, CA 93401-5962",2021-05-06,,117249,"Meszaros, Annette S",In-Home Dental Hygiene Service,General Service,Service,-120.640657808449,35.261334865211,1765,0,R-2,053-071-012
905,Annette Wong & David Aspinwall,Rental- Residential,1453 LIZZIE ST,"SAN LUIS OBISPO, CA 93401-3038",2012-09-17,,111087,"David Aspinwall, Annette Wong And",Residential Rental Property,Residential Rental,Rental,-120.649887820601,35.279217501307,4918,0,R-1,003-582-003
906,"Annie Braunschweig, C P A",Business/ Services/ Professions,1299 MANZANITA WAY,"SAN LUIS OBISPO, CA 93401-7838",2018-02-02,2021-06-01,114794,"Braunschweig, Annie",Accounting Services,General Service,Service,-120.630839740436,35.249154978192,2954,1,R-2,053-300-046
907,Annie Laurie,Rental- Residential,205 SANDERCOCK ST,"SAN LUIS OBISPO, CA 93401-5020",2022-03-21,,118267,"Laurie, Annie",House Rental,Residential Rental,Rental,-120.667772945268,35.271135865948,1446,0,R-2,003-723-027
908,Annie M Laurie,Personal Services,2146 PARKER ST A-4,"SAN LUIS OBISPO, CA 93401-5042",1995-07-03,,8176,"Laurie, Annie",MASSAGE THERAPY,Massage Therapist,Service,-120.66917499248,35.270233632151,11204,0,C-S,003-721-051
909,Annie Shanks,Rental- Residential,1420 & 1428 JOHNSON AVE,"SAN LUIS OBISPO, CA 93401",2010-09-10,,108507,"Shanks, Annie",Residential Property Rental,Residential Rental,Rental,-120.654119765601,35.281301020873,5656,0,R-2,002-454-001
910,Annika Laurel,Retail,570 HIGUERA ST STE 220,"SAN LUIS OBISPO, CA 93401-3849",2011-01-11,2012-09-18,109893,"Laurel, Annika",Sale Of Handmade Accessories,Downtown Association,Downtown Association,-120.666374213346,35.277817431552,5533,1,C-D,002-402-045
911,"Anno Kurkeyerian, Dc",Medical Services,1630 CORDOVA DR,"SAN LUIS OBISPO, CA 93405-4714",1997-09-19,,10235,"Kurkeyerian, DC, Anno",Doctor Of Chiropractic,Professional Service,Service,-120.70616314895,35.267044064062,10395,0,R-1,053-281-026
912,Another Bottle Down,Home Occupation,145 STENNER ST,"SAN LUIS OBISPO, CA 93405-1813",2012-10-03,2013-06-26,111119,"Gaddis, James",Trendy New T-Shirts To The College Scene,General Retailer,Retail,-120.663411727577,35.291726337207,4902,1,R-3,052-192-012
913,Anselm Varni,Rental- Commercial,705 HIGUERA ST,"SAN LUIS OBISPO, CA 93401-3512",1992-05-11,,5409,"Varni, Anselm",,Downtown Association,Downtown Association,-120.664335700828,35.278916121325,12352,0,C-D,002-424-001
914,Anthology,Retail,714 HIGUERA ST,"SAN LUIS OBISPO, CA 93401-3513",2004-01-22,2007-02-23,15007,"Kelsey, Connie",,Downtown Association,Downtown Association,-120.664276716825,35.279093725143,8079,1,C-D,002-423-013
915,Anthoney S & Christina E Mudy,Rental- Residential,1774 OCEANAIRE DR,"SAN LUIS OBISPO, CA 93405-6825",2001-01-29,,70633,"Mudy, Anthoney S & Christina E",Rental - Residential,Residential Rental,Rental,-120.683918427372,35.257638796193,9167,0,R-1,004-631-011
916,Anthony & Marit Thompson,Home Occupation,1371 AVALON ST,"SAN LUIS OBISPO, CA 93405-4901",2011-10-12,2015-06-30,110406,"Thompson, Anthony Glenn",Lawn Maintenance And Garden Care,General Service,Service,-120.687987529839,35.262607138436,5259,1,R-1,004-381-014
917,Anthony & Maureen Halderman,Rental- Residential,1275 CAYUCOS DR,"SAN LUIS OBISPO, CA 93405-6801",2011-05-11,,110107,"Halderman, Anthony & Maureen",Residential Rental Property,Residential Rental,Rental,-120.685437420377,35.254051375097,5413,0,R-1,004-431-006
918,Anthony Aurignac / Venture Real Estate,Real Estate Broker,1065 HIGUERA ST STE 301,"SAN LUIS OBISPO, CA 93401-3641",2025-04-01,,121374,Venture Real Estate,,Downtown Association,Downtown Association,-120.659768093908,35.281627973989,339,0,C-D,002-435-003
919,Anthony De Rose,Rental- Residential,1185 E FOOTHILL BLVD APT 23 & 28,"SAN LUIS OBISPO, CA 93405-8501",2010-09-02,,108202,"De Rose, Anthony",Condo Rentals,Residential Rental,Rental,-120.664288722571,35.29476518458,5664,0,R-4,052-184-037
920,Anthony E Luis Etux,Rental- Residential,662-664 BRANCH ST,"SAN LUIS OBISPO, CA",2001-01-10,,70538,"Luis, Anthony E",,Residential Rental,Rental,-120.657552134661,35.270260456793,9186,0,C-N,003-746-035
921,Anthony G Gomez & Bradley Bilsten Et Al,Rental- Residential,673-675 HIGUERA ST,"SAN LUIS OBISPO, CA 93401-3510",1992-04-02,,5048,"Gomez, Anthony G & K L",Commercial rental,Downtown Association,Downtown Association,-120.664770985211,35.278650848105,12391,0,C-D,002-422-007
922,Anthony Gomez,Rental- Residential,6 LOCATION PROPERTY RENTALS,"SAN LUIS OBISPO, CA 93401-2760",1997-08-12,,10070,Anthony Gomez,Residential Rental Property,Residential Rental,Rental,,,10433,0,,
923,"Anthony J & Linda J Di Buduo, Survivors Trust",Rental- Residential,9 LOS VERDES DR,"SAN LUIS OBISPO, CA 93401-7713",2010-09-03,,108279,"Di Buduo, Linda",Residential Rental Property,Residential Rental,Rental,-120.676709653541,35.242311056889,5663,0,R-1,053-262-094
924,Anthony L Leal,Rental- Residential,120 PATRICIA DR,"SAN LUIS OBISPO, CA 93405-1252",2001-01-10,2010-12-06,70497,"Leal, Anthony L",,Residential Rental,Rental,-120.683550507065,35.294375437425,9186,1,R-1,052-011-035
925,Anthony M & Donna J Flatos,Rental- Residential,35 STENNER ST APT I,"SAN LUIS OBISPO, CA 93405-1871",1992-03-31,2017-07-31,4947,"Flatos, Anthony & Donna",,Residential Rental,Rental,-120.663399508894,35.292458870036,12393,1,R-3,052-192-009
926,"Anthony M & Sd Wolfe, Etal",Rental- Commercial,"100 CASA ST STE D1, D2, D3","SAN LUIS OBISPO, CA 93405-1883",1997-08-28,2017-04-01,10191,"Wolfe, Anthony",Rental,Commercial Rental Property,Rental,-120.665137547058,35.293356954258,10417,1,R-4,052-182-028
927,Anthony M Sarge,Rental- Residential,2230 EXPOSITION DR UNIT 47,"SAN LUIS OBISPO, CA 93401-5546",2001-02-22,,70909,"Sarge, Anthony M",Rental - Residential,Residential Rental,Rental,-120.664540359507,35.268521687706,9143,0,R-4,004-820-086
928,"Anthony M Wolfe, MD",Medical Services,84 Santa Rosa ST St,"San Luis Obispo, CA 93405-1812",1982-07-01,2017-04-01,98324,"Wolfe, M.D., Anthony",Medical Office,Professional Service,Service,-120.667236081909,35.292354937766,15954,1,O,052-181-001
929,Anthony Matusich,Rental- Residential,1147 LAUREL LN,"SAN LUIS OBISPO, CA 93401-5822",2024-06-01,2025-04-24,120533,"Matusich, Anthony",Rental- Residential,Residential Rental,Rental,-120.642040435589,35.263243873543,643,1,R-3,004-563-065
930,Anthony Owen Company Inc,Real Estate Agent,1493 HIGUERA ST B-1,"SAN LUIS OBISPO, CA 93401-2915",1995-10-12,2006-07-13,8418,"Knecht, Paul A & Susan E",,General Service,Service,-120.653973147704,35.285266987749,11103,1,O,001-232-007
931,Anthony Paton,Rental- Residential,1282 W NEWPORT ST,"SAN LUIS OBISPO, CA 93405-6530",2010-10-27,2019-09-09,109558,"Paton, Anthony",Rental Property,Residential Rental,Rental,-120.689281050611,35.259759605754,5609,1,R-1,004-401-029
932,Anthony W Viola,Home Occupation,1741 CORRALITOS AVE,"SAN LUIS OBISPO, CA 93401-3012",2012-09-05,2013-10-28,111062,"Viola, Anthony W",Residential Construction,Contractor,Service,-120.649460491177,35.28626050742,4930,1,R-1,001-242-005
